"","quant","specificEpithet","doy","species","Estimate","Est.Error","Q2.5","Q25","Q75","Q97.5"
"20","100%","gracilis",164,"gracilis",0.0708750847826452,0.0556483251979951,0.00754774261608572,0.0324969420790512,0.0925024730644559,0.212957549911493
"21","0%","hortulana",72,"hortulana",0.56589265431435,0.125730678510203,0.336906618910953,0.473334423601976,0.651924790580033,0.818913050575752
"22","25%","hortulana",102,"hortulana",0.263298918425153,0.044189858148045,0.181512180893947,0.231972075770778,0.292648236813562,0.353310680934146
"23","50%","hortulana",106,"hortulana",0.230696246136983,0.0408466180077842,0.155659517237947,0.201718082076565,0.258459211229737,0.310789007425488
"24","75%","hortulana",112.75,"hortulana",0.183182806868335,0.0399961061703546,0.109140314104905,0.155254702585102,0.210327407736926,0.264131753951903
"25","100%","hortulana",139,"hortulana",0.0732490528115941,0.0367561735981826,0.0155846395325245,0.0457561352408991,0.0961155015630189,0.156856568094691
"26","0%","maritima",106,"maritima",0.665397201900364,0.0780850491489668,0.504470483056568,0.614264418159864,0.719518796989842,0.811230784873434
"27","25%","maritima",120,"maritima",0.574205977900863,0.0632174124578431,0.451548754729536,0.531003559627083,0.617677398747744,0.694351015506141
"28","50%","maritima",130,"maritima",0.503698679101836,0.0582873560060647,0.391423570921991,0.463969605527886,0.543992298844087,0.618643804568898
"29","75%","maritima",137,"maritima",0.453991784603242,0.0608228319633216,0.336761554767336,0.412332934233275,0.494921706066184,0.573070441192404
"30","100%","maritima",240,"maritima",0.0710334800475344,0.0858665273438621,0.00253495069231593,0.0196111955791731,0.0864600810738085,0.326007026019868
"31","0%","mexicana",43,"mexicana",0.928906815954965,0.0511422971566459,0.804832168599322,0.899752470489661,0.96871912483334,0.992089577136158
"32","25%","mexicana",73,"mexicana",0.799811045042252,0.0671545497101132,0.66298688267288,0.754251011496217,0.849448259012791,0.919694997138996
"33","50%","mexicana",88.5,"mexicana",0.667037741420457,0.0640284900262471,0.540767402228995,0.623317392851431,0.711542836113901,0.792167449162599
"34","75%","mexicana",101.5,"mexicana",0.52292614980119,0.0744731983531232,0.376939266230003,0.472206852787862,0.572831878836751,0.663761594775843
"35","100%","mexicana",128,"mexicana",0.255431881772276,0.107358470148207,0.0764776250501076,0.172976141365353,0.332073595967634,0.475593943813269
"36","0%","munsoniana",59,"munsoniana",0.567323408255839,0.109889674681572,0.332741185933454,0.495447363566447,0.647864720445568,0.758791894180769
"37","25%","munsoniana",91.25,"munsoniana",0.408953839519361,0.0492577528899505,0.314275663270032,0.375319132526005,0.442686440343055,0.504904980263659
"38","50%","munsoniana",100,"munsoniana",0.366988940743864,0.044088200606723,0.281242199956001,0.337516128560883,0.396758754717304,0.454116468110929
"39","75%","munsoniana",105.75,"munsoniana",0.340706602823274,0.045933116874139,0.254222856481046,0.308940374565998,0.371136462150093,0.432506908915866
"40","100%","munsoniana",252,"munsoniana",0.0705631583723377,0.119705369373917,0.00130260800650095,0.00784251628169827,0.0727846199978084,0.463684814784271
"41","0%","nigra",98,"nigra",0.481402253301886,0.0851634433878541,0.317234666595509,0.424962694693844,0.538220791945397,0.650483338625736
"42","25%","nigra",121,"nigra",0.333489923891635,0.046302302023894,0.246447392842006,0.30136528563196,0.36462522067986,0.425807919202639
"43","50%","nigra",130,"nigra",0.282046582908665,0.0413766310488487,0.20399211538912,0.253961485143409,0.309627028087724,0.364231184935014
"44","75%","nigra",137,"nigra",0.246030927710407,0.0421896318950679,0.168981613715438,0.216468746626905,0.273681215149158,0.331633792478367
"45","100%","nigra",254,"nigra",0.0287948422710209,0.0494522524949367,0.000998349626566733,0.00587311385407418,0.0298228680741325,0.164850623243228
"46","0%","rivularis",65,"rivularis",0.445051571713254,0.0805214314164595,0.298967901085766,0.38960326364599,0.496987469452689,0.615209368679194
"47","25%","rivularis",78,"rivularis",0.345555028592693,0.0521739634702091,0.249303819424077,0.310526578976554,0.379325203786145,0.453968698555466
"48","50%","rivularis",88,"rivularis",0.276660492869103,0.0409539987450872,0.199642144303675,0.24878903389998,0.304123904890753,0.361213308146907
"49","75%","rivularis",94,"rivularis",0.240118522579829,0.0399134291668303,0.165183949726741,0.212427229658759,0.267147000454919,0.321540423661338
"50","100%","rivularis",229,"rivularis",0.0123783098855618,0.027521149034636,9.19733442015225e-05,0.00145031539906596,0.0119072182804765,0.0785442152593662
"51","0%","subcordata",74,"subcordata",0.158229541902436,0.0993329384164121,0.0183622821075282,0.0823855127798101,0.218791555229447,0.394955178076336
"52","25%","subcordata",106,"subcordata",0.0832235096577732,0.0434553945391205,0.0197189582631097,0.0507748051015821,0.10826759805544,0.186467464950936
"53","50%","subcordata",116.5,"subcordata",0.0685909421341991,0.0360867357627977,0.0160718888827727,0.0421137420898193,0.0888974634203556,0.15600830393151
"54","75%","subcordata",135,"subcordata",0.0511289438589988,0.0325501979817166,0.00961627247476827,0.0282862304637415,0.0667166040890155,0.132906390995564
"55","100%","subcordata",160,"subcordata",0.0390572998248356,0.0413755327321286,0.00350680866492502,0.0142664474237544,0.0483273308099243,0.155763588799655
"56","0%","texana",52,"texana",0.328720100845423,0.144040017544407,0.0862228782109751,0.217731608628676,0.428375990609047,0.621772144804914
"57","25%","texana",74.5,"texana",0.260570048216937,0.102203435485774,0.0878152568359669,0.186137744093166,0.327931739543218,0.482959444125352
"58","50%","texana",80,"texana",0.245675400562639,0.0950556804618293,0.0865820566237277,0.177074481408987,0.305117692307112,0.457161734134236
"59","75%","texana",106,"texana",0.187455659562914,0.0810115848141154,0.0626283954691163,0.127524272246594,0.237897298885652,0.376735836708786
"60","100%","texana",320,"texana",0.0958675096926728,0.182954606888671,3.98159302576018e-05,0.00108910003386085,0.0934761804745547,0.718138267922246
"61","0%","umbellata",31,"umbellata",0.729701956031904,0.103603492919538,0.487217932452136,0.669197354442542,0.806899943201309,0.885741523880289
"62","25%","umbellata",63.75,"umbellata",0.612393876649163,0.0661758096671847,0.477608302454219,0.567776875763939,0.65844113616827,0.737991075384966
"63","50%","umbellata",75,"umbellata",0.564663211619005,0.0603793217999468,0.448557036314866,0.523211285886948,0.606043389808941,0.679486695785844
"64","75%","umbellata",91,"umbellata",0.494192236716223,0.0703078772213947,0.362755061570109,0.444844994428784,0.541180632185024,0.635012899264258
"65","100%","umbellata",128,"umbellata",0.344416675695866,0.126113058016117,0.152131589550471,0.249232246348962,0.419488098044223,0.636704567413769
