"","X","specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass","flowers","fruit","leaves","bbch.f","bbch.v","flagged","note","flagged_question","question_note","entered_by","imput_date.GPS","pdsi","pdsi.sd","pdsi.min","spiyear.min","spispring.min","spisummer.min","spiyear.mean","spispring.mean","spisummer.mean"
"11",11,"mexicana",5668028,"LSU",1971,2,28,"1971-02-28","Louisiana","ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5668028",-92.1593802,32.4833014,"county_centroid","Y","N","N",65,NA,"","","Y","65?","SC","",0.0199152513454526,1.68108404546359,-4.38000011444092,-2.52056455612183,-2.52056455612183,-2.1681067943573,-5.30892357346602e-05,4.78283109259792e-05,4.78283109259792e-05
"12",12,"mexicana",16920047,"NCU",1975,2,12,"1975-02-12","Louisiana","bossier","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920047",-93.60464644,32.68136443,"county_centroid","Y","N","N",64,NA,"","","","","SC","date",0.109406783008727,1.71124700912873,-5.55000019073486,-2.57527828216553,-2.30267667770386,-2.57527828216553,1.0651909178705e-05,9.86314989859238e-06,9.86314989859238e-06
"13",13,"mexicana",22620186,"KANU",1969,5,8,"1969-05-08","Kansas","Brown","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620186",-95.39625,39.92525,"geo_referenced","Y","N","N",65,NA,"Y","two collection dates","","","SC","",0.254661025542576,2.03466735163452,-4.78999996185303,-2.70367956161499,-2.70367956161499,-2.48750829696655,0.000133982350234874,0.000217327047721483,0.000217327047721483
"14",14,"mexicana",13205117,"EKY",1988,8,1,"1988-08-01","Kentucky","wolfe","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13205117",-83.48718651,37.74010808,"county_centroid","N","N","Y",NA,NA,"","","","","SC","",0.128474575246416,1.67685534431553,-4.21000003814697,-2.66542029380798,-2.6400089263916,-2.66542029380798,-2.21119853449636e-06,4.20879732700996e-05,4.20879732700996e-05
"15",15,"mexicana",3848982,"APSC",2001,4,14,"2001-04-14","Tennessee","giles","https://midwestherbaria.org/portal/collections/individual/index.php?occid=3848982",-87.02670454,35.21051646,"county_centroid","Y","N","Y",65,17,"","","","","SC","",0.129237288135593,1.70505691211104,-3.77999997138977,-2.40070605278015,-2.32940578460693,-2.40070605278015,-5.16663603775669e-05,-1.81827272172086e-05,-1.81827272172086e-05
"16",16,"mexicana",12911152,"UARK",1978,4,2,"1978-04-02","Arkansas","perry","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911152",-92.9415163,34.94234579,"county_centroid","Y","N","N",67,0,"","","","","SC","date",0.0193220337032009,1.88309789934098,-3.73000001907349,-2.82442474365234,-2.27704739570618,-2.82442474365234,-0.000178235757630318,-7.56318258936517e-05,-7.56318258936517e-05
"17",17,"mexicana",5894914,"MISS",2000,10,18,"2000-10-18","Mississippi","Lafayette","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894914",-89.494233,34.36543,"geo_referenced","N","N","Y",NA,NA,"","","","","SC","",0.194661019638307,1.74278276760549,-3.10999989509583,-2.7441520690918,-2.7441520690918,-2.19112062454224,-2.57985757343704e-05,1.5647954569431e-05,1.5647954569431e-05
"18",18,"mexicana",13504676,"TEX",1996,4,7,"1996-04-07","Texas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13504676",-95.51374149,30.31793805,"county_centroid","Y","N","N",65,0,"","","","","SC","",0.259152541315909,1.94302196486424,-4.55999994277954,-2.84465384483337,-2.41443777084351,-2.84465384483337,0.0003973166749347,0.000145153870107606,0.000145153870107606
"19",19,"mexicana",16919890,"NCU",1966,9,6,"1966-09-06","Alabama","blount","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16919890",-86.5627114,33.99044001,"county_centroid","N","N","Y",NA,NA,"","","","","SC","date",0.009491530168107,1.48702240748521,-3.77999997138977,-3.99184274673462,-3.91632652282715,-3.99184274673462,0.000421903736423701,0.000303444889141247,0.000303444889141247
"20",20,"mexicana",6339120,"DSC",1999,5,17,"1999-05-17","Mississippi","leflore","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6339120",-90.30537514,33.55282113,"county_centroid","N","N","Y",NA,NA,"","","","","SC","",0.116186438933394,1.78543104766275,-4.34000015258789,-2.56233835220337,-2.56233835220337,-2.19900798797607,-0.000116913841338828,-3.24827960866969e-05,-3.24827960866969e-05
"21",21,"mexicana",25876705,"TAC",2003,3,9,"2003-03-09","Texas","eastland","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25876705",-98.82767183,32.32892145,"county_centroid","Y","N","N",65,0,"","","","","SC","",0.275762713340632,2.16325585481597,-4.94999980926514,-2.59811735153198,-2.59811735153198,-2.57873821258545,0.000189192694961093,3.41965096595231e-05,3.41965096595231e-05
"22",22,"mexicana",21204455,"APSC",2011,5,23,"2011-05-23","Mississippi","clay","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21204455",-88.78228525,33.65703355,"county_centroid","N","N","Y",NA,NA,"","","","","SC","date",0.135593222533116,1.750853050889,-3.65000009536743,-2.51841378211975,-2.51841378211975,-2.35523748397827,4.07928819186054e-05,5.57514722459018e-05,5.57514722459018e-05
"23",23,"mexicana",12877100,"UARK",1972,9,2,"1972-09-02","Arkansas","hempstead","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877100",-93.66853507,33.73577783,"county_centroid","N","N","Y",NA,NA,"","","","","SC","date",0.10677965525222,1.63679167732988,-3.91000008583069,-2.84796094894409,-2.84796094894409,-2.21465039253235,-8.21727589936927e-05,3.27904399455292e-06,3.27904399455292e-06
"24",24,"mexicana",10246796,"APCR",1972,5,13,"1972-05-13","Arkansas","conway","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246796",-92.69835872,35.25373435,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",-0.0519491423679105,1.81485665944754,-3.32999992370605,-2.95263934135437,-2.88309144973755,-2.95263934135437,-9.66842490015551e-05,-3.5318749723956e-05,-3.5318749723956e-05
"25",25,"mexicana",6507284,"NY",2009,5,14,"2009-05-14","Tennessee","Decatur Co.","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6507284",-88.0060919,35.5426111,"geo_referenced","N","N","Y",NA,NA,"","","","","SC","",0.131610169691049,1.84947484991683,-4.09000015258789,-2.73357582092285,-2.73357582092285,-2.27309989929199,-9.27140426938422e-05,-4.20652686443646e-05,-4.20652686443646e-05
"26",26,"mexicana",16920063,"NCU",1959,3,21,"1959-03-21","Louisiana","union","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920063",-92.38028188,32.83355378,"county_centroid","Y","N","Y",65,11,"","","","","SC","date",0.000338981591038785,1.65491029854697,-3.70000004768372,-2.52056455612183,-2.52056455612183,-2.1681067943573,-5.30892357346602e-05,4.78283109259792e-05,4.78283109259792e-05
"27",27,"mexicana",10246798,"APCR",2008,9,6,"2008-09-06","Arkansas","pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246798",-93.03339602,35.44081908,"county_centroid","N","N","Y",NA,NA,"","","","","SC","date",-0.0364406755099357,1.84206569178623,-3.36999988555908,-3.14900898933411,-2.9301974773407,-3.14900898933411,0.000139669355121441,0.000147860511788167,0.000147860511788167
"28",28,"mexicana",21186193,"ANHC",2002,4,5,"2002-04-05","Arkansas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186193",-93.65831855,34.54772903,"county_centroid","Y","N","N",62,0,"","","","","SC","",0.0588135630271192,1.89597918399362,-4,-2.78793048858643,-2.35000872612,-2.78793048858643,-8.63544555613771e-05,-8.13940860098228e-05,-8.13940860098228e-05
"29",29,"mexicana",22646915,"KANU",1995,4,13,"1995-04-13","Kansas","Leavenworth","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22646915",-94.933664,39.368204,"geo_referenced","Y","N","Y",65,15,"","","","","SC","",0.383389824717227,1.90574714454366,-4.57000017166138,-2.83618927001953,-2.83618927001953,-2.57175970077515,0.000124363548820838,0.000171230116393417,0.000171230116393417
"30",30,"mexicana",12877040,"UARK",1927,7,20,"1927-07-20","Arkansas","craighead","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877040",-90.6430341,35.82915721,"county_centroid","N","N","Y",NA,NA,"","","","","SC","",0.0801694972945725,1.79336096338825,-4.82999992370605,-2.47344970703125,-2.17729496955872,-2.47344970703125,-0.000135800961288624,-0.000153970628161915,-0.000153970628161915
"31",31,"mexicana",12911691,"UARK",1983,4,11,"1983-04-11","Arkansas","washington","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911691",-94.22168881,35.97609413,"county_centroid","Y","N","Y",65,15,"","","","","SC","",-0.0400847371478202,1.93825964106756,-4.42999982833862,-2.6824324131012,-2.51543378829956,-2.6824324131012,0.000150603300426155,0.000122900048154406,0.000122900048154406
"32",32,"mexicana",5465891,"EKY",1980,4,10,"1980-04-10","Kentucky","caldwell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465891",-87.86305395,37.14229907,"county_centroid","Y","N","Y",64,11,"","","","","SC","",0.263813562359724,1.72796798544105,-4.40999984741211,-3.27754187583923,-3.27754187583923,-2.95570373535156,8.11696372693405e-05,0.000113868052721955,0.000113868052721955
"33",33,"mexicana",9176923,"LSU",1978,9,7,"1978-09-07","Louisiana","winn","https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176923",-92.63472222,31.94680798,"county_centroid","N","N","Y",NA,NA,"","","","","SC","",0.0440677942992267,1.74918943261471,-5.42000007629395,-2.5259644985199,-2.49774765968323,-2.5259644985199,1.68077222042484e-05,8.44635651446879e-05,8.44635651446879e-05
"34",34,"mexicana",16920052,"NCU",1979,6,3,"1979-06-03","Louisiana","claiborne","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920052",-92.99514158,32.82545749,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",0.0177118662523769,1.70929054823666,-4.36999988555908,-2.52056455612183,-2.52056455612183,-2.1681067943573,-5.30892357346602e-05,4.78283109259792e-05,4.78283109259792e-05
"35",35,"mexicana",16572947,"VDB",2012,4,12,"2012-04-12","Kansas","bourbon","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16572947",-94.85958888,37.854871,"county_centroid","Y","N","N",65,0,"","","","","SC","date",0.315000010180776,1.82991090492107,-4.21999979019165,-2.7769763469696,-2.74158716201782,-2.7769763469696,0.000375675095710903,0.000425907986937091,0.000425907986937091
"36",36,"mexicana",5668027,"LSU",1935,7,18,"1935-07-18","Louisiana","evangeline","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5668027",-92.40451479,30.73356046,"county_centroid","N","N","Y",NA,NA,"","","","","SC","",0.0485593157867759,1.80654191077187,-6.34000015258789,-3.17911267280579,-3.17911267280579,-2.95860934257507,0.000290918367682025,0.0002261523186462,0.0002261523186462
"37",37,"mexicana",12877156,"UARK",2006,8,11,"2006-08-11","Arkansas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877156",-93.65831855,34.54772903,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",0.0588135630271192,1.89597918399362,-4,-2.78793048858643,-2.35000872612,-2.78793048858643,-8.63544555613771e-05,-8.13940860098228e-05,-8.13940860098228e-05
"38",38,"mexicana",12877064,"UARK",1983,3,26,"1983-03-26","Arkansas","crawford","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877064",-94.25175754,35.5843972,"county_centroid","Y","N","N",65,0,"","","","","SC","date",-0.0400847371478202,1.93825964106756,-4.42999982833862,-2.6824324131012,-2.51543378829956,-2.6824324131012,0.000150603300426155,0.000122900048154406,0.000122900048154406
"39",39,"mexicana",19212167,"UCHT",2002,3,19,"2002-03-19","Louisiana","caddo","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19212167",-93.88843278,32.59124739,"county_centroid","Y","N","Y",65,10,"","","","","SC","date",0.109406783008727,1.71124700912873,-5.55000019073486,-2.57527828216553,-2.30267667770386,-2.57527828216553,1.0651909178705e-05,9.86314989859238e-06,9.86314989859238e-06
"40",40,"mexicana",22723098,"KANU",2014,7,27,"2014-07-27","Kansas","Douglas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22723098",-95.15432,38.8025,"geo_referenced","N","Y","Y",89,19,"","","","","SC","",0.315593223024349,1.88939439365925,-4.07999992370605,-2.63564157485962,-2.30044364929199,-2.63564157485962,0.000168156198924407,0.000201392263988964,0.000201392263988964
"41",41,"mexicana",5668029,"LSU",1977,7,9,"1977-07-09","Louisiana","rapides","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5668029",-92.53011007,31.20510797,"county_centroid","N","N","Y",NA,NA,"","","","","SC","",0.0565254269641335,1.7854863026828,-5.17000007629395,-2.5259644985199,-2.49774765968323,-2.5259644985199,1.68077222042484e-05,8.44635651446879e-05,8.44635651446879e-05
"42",42,"mexicana",20807966,"UCHT",2002,3,16,"2002-03-16","Texas","austin","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20807966",-96.28068897,29.89023645,"county_centroid","N","N","Y",NA,NA,"","","","","SC","date",0.18211864215969,1.95179989773237,-4.26000022888184,-2.9121618270874,-2.49530529975891,-2.9121618270874,0.000316781050059944,0.000123676014482044,0.000123676014482044
"43",43,"mexicana",12877065,"UARK",2003,7,22,"2003-07-22","Arkansas","cross","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877065",-90.77551081,35.28915734,"county_centroid","N","Y","Y",89,19,"","","","","SC","",0.117881355570408,1.85069948942921,-3.60999989509583,-2.47344970703125,-2.17729496955872,-2.47344970703125,-0.000135800961288624,-0.000153970628161915,-0.000153970628161915
"44",44,"mexicana",15369609,"NCU",1937,8,30,"1937-08-30","North Carolina","orange","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15369609",-79.1273705,36.05478028,"county_centroid","N","Y","Y",89,19,"","","","","SC","",0.0870338998955943,1.7249829978033,-4.42000007629395,-2.63603210449219,-2.63603210449219,-2.56979274749756,-0.000137221548357047,-4.91591672471259e-05,-4.91591672471259e-05
"45",45,"mexicana",22620183,"KANU",1965,4,17,"1965-04-17","Kansas","Anderson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620183",-95.24192,38.30957,"geo_referenced","Y","N","Y",65,11,"","","","","SC","",0.272966098624392,1.88009924765843,-4.28000020980835,-2.63564157485962,-2.30044364929199,-2.63564157485962,0.000168156198924407,0.000201392263988964,0.000201392263988964
"46",46,"mexicana",12509353,"WCUH",1971,2,28,"1971-02-28","Louisiana","ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12509353",-92.1593802,32.4833014,"county_centroid","Y","N","N",63,0,"","","","","SC","date",0.0199152513454526,1.68108404546359,-4.38000011444092,-2.52056455612183,-2.52056455612183,-2.1681067943573,-5.30892357346602e-05,4.78283109259792e-05,4.78283109259792e-05
"47",47,"mexicana",5465876,"EKY",2003,4,15,"2003-04-15","Kentucky","owen","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465876",-84.82059771,38.5073583,"county_centroid","Y","N","Y",65,15,"Y","two collection dates","","","SC","",0.377033909467065,1.67412858411135,-5.19999980926514,-3.52294111251831,-3.30079698562622,-3.52294111251831,1.07834011942032e-05,-6.95182552590268e-06,-6.95182552590268e-06
"48",48,"mexicana",22620195,"KANU",1969,4,21,"1969-04-21","Kansas","Wilson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620195",-95.73477,37.41832,"geo_referenced","Y","N","Y",67,17,"","","","","SC","",0.430932206875187,1.95939026768175,-5.44000005722046,-2.76619553565979,-2.6290647983551,-2.76619553565979,0.000357349839759991,0.000435793364886194,0.000435793364886194
"49",49,"mexicana",12876989,"UARK",1978,10,21,"1978-10-21","Arkansas","arkansas","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12876989",-91.37334862,34.29669057,"county_centroid","N","N","Y",NA,NA,"","","","","SC","",0.0182203426010023,1.71224580080954,-3.15000009536743,-2.27490520477295,-2.27490520477295,-2.18583059310913,-0.000211776321521029,-0.0001072442100849,-0.0001072442100849
"50",50,"mexicana",6345103,"MMNS",1985,3,16,"1985-03-16","Mississippi","Winston","https://midwestherbaria.org/portal/collections/individual/index.php?occid=6345103",-88.8544,33.0961,"geo_referenced","N","N","N",NA,NA,"","","Y","flowers?","SC","",0.0234745804662422,1.64785036758882,-3.77999997138977,-2.51841378211975,-2.51841378211975,-2.35523748397827,4.07928819186054e-05,5.57514722459018e-05,5.57514722459018e-05
"51",51,"mexicana",10246807,"APCR",1967,NA,NA,"","Arkansas","pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246807",-93.03339602,35.44081908,"county_centroid","N","N","Y",NA,NA,"","","Y","incomplete date","SC","date",-0.0364406755099357,1.84206569178623,-3.36999988555908,-3.14900898933411,-2.9301974773407,-3.14900898933411,0.000139669355121441,0.000147860511788167,0.000147860511788167
"52",52,"mexicana",13497872,"TEX",1940,3,7,"1940-03-07","Texas","harris","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497872",-95.401057,29.87217015,"county_centroid","Y","N","N",67,0,"Y","two collection dates","","","SC","",0.291779658046819,1.96172069630066,-4.86999988555908,-2.84087729454041,-2.62157440185547,-2.84087729454041,0.000330904440488666,0.000120136632176582,0.000120136632176582
"53",53,"mexicana",21268918,"UAM",1993,3,29,"1993-03-29","Arkansas","faulkner","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268918",-92.33094352,35.14224253,"county_centroid","Y","N","N",65,0,"","","","","SC","",-0.0500847479265373,1.81649304115235,-3.21000003814697,-2.95263934135437,-2.88309144973755,-2.95263934135437,-9.66842490015551e-05,-3.5318749723956e-05,-3.5318749723956e-05
"54",54,"mexicana",16573966,"VDB",1997,7,1,"1997-07-01","Arkansas","sevier","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16573966",-94.25270738,34.00088746,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",0.120762712290605,1.69825056544163,-4.03999996185303,-2.82823419570923,-2.68365168571472,-2.82823419570923,4.52397689514328e-05,-1.14915546873817e-05,-1.14915546873817e-05
"55",55,"mexicana",5894932,"MISS",1966,6,21,"1966-06-21","Mississippi","tippah","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894932",-88.91084551,34.76866436,"county_centroid","N","N","Y",NA,NA,"","","","","SC","",0.207203387109152,1.75989018977543,-3.04999995231628,-2.62586092948914,-2.62586092948914,-2.30171012878418,3.43098363373429e-05,8.1941245298367e-05,8.1941245298367e-05
"56",56,"mexicana",12911154,"UARK",1924,5,24,"1924-05-24","Arkansas","Phillips","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911154",-90.621223,34.587086,"geo_referenced","N","N","Y",NA,NA,"","","","","SC","",0.122711861206187,1.77260620418508,-3.4300000667572,-2.75131916999817,-2.75131916999817,-2.58451867103577,1.67354410223197e-05,0.000126060826005414,0.000126060826005414
"57",57,"mexicana",12877017,"UARK",1929,5,24,"1929-05-24","Arkansas","benton","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877017",-94.26402599,36.34167755,"county_centroid","N","Y","Y",89,19,"","","","","SC","",0.0239830525213126,1.86532010405863,-4.59000015258789,-3.31783318519592,-3.31783318519592,-3.30772876739502,0.000247529591433704,0.000347050576237962,0.000347050576237962
"58",58,"mexicana",12877089,"UARK",1925,4,21,"1925-04-21","Arkansas","garland","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877089",-93.14444412,34.57644159,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",0.0188135558392032,1.8294332327232,-3.76999998092651,-2.78793048858643,-2.35000872612,-2.78793048858643,-8.63544555613771e-05,-8.13940860098228e-05,-8.13940860098228e-05
"59",59,"mexicana",3077568,"DES",1971,2,28,"1971-02-28","Louisiana","Ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=3077568",-91.985,32.56861,"geo_referenced","Y","N","N",60,0,"","","Y","60?","SC","",-0.0451694912734931,1.62636594673643,-3.92000007629395,-2.75449681282043,-2.75449681282043,-2.69649457931519,-0.000147885890328325,-7.32179978513159e-05,-7.32179978513159e-05
"60",60,"mexicana",16080409,"FLAS",2012,6,23,"2012-06-23","Arkansas","Pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16080409",-93.1632,35.3014667,"geo_referenced","N","N","Y",NA,NA,"","","","","SC","",-0.0364406755099357,1.84206569178623,-3.36999988555908,-3.14900898933411,-2.9301974773407,-3.14900898933411,0.000139669355121441,0.000147860511788167,0.000147860511788167
"61",61,"mexicana",13626270,"TEX",2004,4,19,"2004-04-19","TEXAS","Bell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13626270",-97.558333,31.182778,"geo_referenced","N","Y","Y",89,19,"","","","","SC","",0.18474576232355,2.06645355483634,-5.19999980926514,-3.02270746231079,-2.66121292114258,-3.02270746231079,0.000302354368614033,9.94318979792297e-05,9.94318979792297e-05
"62",62,"mexicana",11535439,"LSU",1987,3,12,"1987-03-12","Arkansas","drew","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535439",-91.72331533,33.58639516,"county_centroid","Y","N","N",65,0,"","","","","SC","",0.00372881268672014,1.70504117782336,-4.98999977111816,-2.44529318809509,-2.44529318809509,-2.30346465110779,-0.000122979414300062,4.80517519463319e-05,4.80517519463319e-05
"63",63,"mexicana",10246788,"APCR",1979,3,30,"1979-03-30","Arkansas","garland","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246788",-93.14444412,34.57644159,"county_centroid","Y","N","N",65,0,"","","","","SC","date",0.0188135558392032,1.8294332327232,-3.76999998092651,-2.78793048858643,-2.35000872612,-2.78793048858643,-8.63544555613771e-05,-8.13940860098228e-05,-8.13940860098228e-05
"64",64,"mexicana",19446377,"BEREA",1983,3,10,"1983-03-10","Louisiana","caddo","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446377",-93.88843278,32.59124739,"county_centroid","Y","N","N",65,0,"","","","","SC","date",0.109406783008727,1.71124700912873,-5.55000019073486,-2.57527828216553,-2.30267667770386,-2.57527828216553,1.0651909178705e-05,9.86314989859238e-06,9.86314989859238e-06
"65",65,"mexicana",21267345,"UAM",1983,11,28,"1983-11-28","Louisiana","red river","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21267345",-93.33878346,32.0992281,"county_centroid","N","N","Y",NA,NA,"","","","","SC","",0.126440678360099,1.76014156532947,-5.76000022888184,-2.57527828216553,-2.30267667770386,-2.57527828216553,1.0651909178705e-05,9.86314989859238e-06,9.86314989859238e-06
"66",66,"mexicana",9176992,"LSU",1975,6,13,"1975-06-13","Louisiana","red river","https://midwestherbaria.org/portal/collections/individual/index.php?occid=9176992",-93.33878346,32.0992281,"county_centroid","N","Y","Y",89,19,"","","","","SC","date",0.126440678360099,1.76014156532947,-5.76000022888184,-2.57527828216553,-2.30267667770386,-2.57527828216553,1.0651909178705e-05,9.86314989859238e-06,9.86314989859238e-06
"67",67,"mexicana",12911155,"UARK",NA,NA,NA,"","Arkansas","polk","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911155",-94.23785272,34.49701429,"county_centroid","N","N","Y",NA,NA,"","","Y","date - august or october?","SC","",0.120762712290605,1.69825056544163,-4.03999996185303,-2.82823419570923,-2.68365168571472,-2.82823419570923,4.52397689514328e-05,-1.14915546873817e-05,-1.14915546873817e-05
