"","specificEpithet","id","institutionCode","year","month","day","eventDate","stateProvince","county","references","lon","lat","geoclass","flowers","fruit","leaves","bbch.f","bbch.v","flagged","note","flagged_question","question_note","entered_by","imput_date.GPS","eventDate2","eventDate3","doy","doy.cent","bbch.v.scale","bbch.short"
"27","mexicana",3077568,"DES",1971,2,28,"1971-02-28","Louisiana","Ouachita","https://midwestherbaria.org/portal/collections/individual/index.php?occid=3077568",-91.985,32.56861,"geo_referenced","Y","N","N",60,0,"","","Y","60?","SC","","1971-2-28",1971-02-28,59,-45.2438057482656,1,1
"28","mexicana",11535439,"LSU",1987,3,12,"1987-03-12","Arkansas","drew","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535439",-91.72331533,33.58639516,"county_centroid","Y","N","N",65,0,"","","","","SC","","1987-3-12",1987-03-12,71,-33.2438057482656,1,1
"29","mexicana",10246788,"APCR",1979,3,30,"1979-03-30","Arkansas","garland","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246788",-93.14444412,34.57644159,"county_centroid","Y","N","N",65,0,"","","","","SC","date","1979-3-30",1979-03-30,89,-15.2438057482656,1,1
"30","mexicana",19446377,"BEREA",1983,3,10,"1983-03-10","Louisiana","caddo","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19446377",-93.88843278,32.59124739,"county_centroid","Y","N","N",65,0,"","","","","SC","date","1983-3-10",1983-03-10,69,-35.2438057482656,1,1
"31","mexicana",25174217,"SAT",2008,3,30,"2008-03-30","Texas","mcculloch","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25174217",-99.36576394,31.20210662,"county_centroid","Y","N","Y",65,10,"","","","","SC","","2008-3-30",2008-03-30,90,-14.2438057482656,3,2
"32","mexicana",21268914,"UAM",1990,3,20,"1990-03-20","Arkansas","lincoln","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268914",-91.72609781,33.96344474,"county_centroid","Y","N","N",67,0,"","","","","SC","","1990-3-20",1990-03-20,79,-25.2438057482656,1,1
"33","mexicana",11535436,"LSU",1977,4,26,"1977-04-26","Wisconsin","dane","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535436",-89.42050383,43.06816145,"county_centroid","Y","N","Y",65,15,"","","","","SC","","1977-4-26",1977-04-26,116,11.7561942517344,4,2
"34","mexicana",22519514,"KANU",2005,4,16,"2005-04-16","Kansas","Jackson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22519514",-95.5969444,39.4488889,"geo_referenced","Y","N","Y",65,11,"","","","","SC","","2005-4-16",2005-04-16,106,1.75619425173439,3,2
"35","mexicana",14221706,"BRIT",1979,3,14,"1979-03-14","Texas","Smith","https://midwestherbaria.org/portal/collections/individual/index.php?occid=14221706",-95.269183,32.375035,"geo_referenced","Y","N","N",65,0,"","","","","SC","","1979-3-14",1979-03-14,73,-31.2438057482656,1,1
"36","mexicana",22620202,"KANU",1969,4,20,"1969-04-20","Kansas","Anderson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620202",-95.24183,38.32978,"geo_referenced","Y","N","Y",65,17,"","","","","SC","","1969-4-20",1969-04-20,110,5.75619425173439,5,3
"37","mexicana",11535440,"LSU",1991,3,14,"1991-03-14","Texas","gillespie","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11535440",-98.93732734,30.30096526,"county_centroid","Y","N","N",65,0,"","","","","SC","","1991-3-14",1991-03-14,73,-31.2438057482656,1,1
"38","mexicana",5894926,"MISS",1964,3,8,"1964-03-08","Mississippi","pearl river","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894926",-89.57988952,30.77800527,"county_centroid","Y","N","N",65,0,"Y","two collection dates","","","SC","","1964-3-8",1964-03-08,68,-36.2438057482656,1,1
"39","mexicana",10246785,"APCR",1971,4,3,"1971-04-03","Arkansas","scott","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246785",-94.0745859,34.86653654,"county_centroid","Y","N","N",65,0,"","","","","SC","date","1971-4-3",1971-04-03,93,-11.2438057482656,1,1
"40","mexicana",5465867,"EKY",1977,4,16,"1977-04-16","Kentucky","harrison","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5465867",-84.33002821,38.4375269,"county_centroid","Y","N","N",65,0,"Y","more than one collection date","","","SC","","1977-4-16",1977-04-16,106,1.75619425173439,1,1
"41","mexicana",5894933,"MISS",1976,3,13,"1976-03-13","Mississippi","tishomingo","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5894933",-88.24452228,34.74392738,"county_centroid","Y","N","N",65,0,"","","","","SC","","1976-3-13",1976-03-13,73,-31.2438057482656,1,1
"42","mexicana",12911681,"UARK",1982,3,19,"1982-03-19","Arkansas","scott","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911681",-94.0745859,34.86653654,"county_centroid","Y","N","N",65,0,"","","","","SC","date","1982-3-19",1982-03-19,78,-26.2438057482656,1,1
"43","mexicana",10246811,"APCR",1998,3,28,"1998-03-28","Arkansas","pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246811",-93.03339602,35.44081908,"county_centroid","Y","N","N",65,0,"","","","","SC","date","1998-3-28",1998-03-28,87,-17.2438057482656,1,1
"44","mexicana",12911678,"UARK",2005,3,21,"2005-03-21","Arkansas","saline","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911678",-92.67230801,34.65007785,"county_centroid","Y","N","N",65,0,"","","","","SC","date","2005-3-21",2005-03-21,80,-24.2438057482656,1,1
"45","mexicana",12877025,"UARK",1990,4,17,"1990-04-17","Arkansas","carroll","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877025",-93.54763094,36.33781409,"county_centroid","Y","N","Y",65,10,"Y","two collection dates","","","SC","date","1990-4-17",1990-04-17,107,2.75619425173439,3,2
"46","mexicana",12911688,"UARK",1928,3,31,"1928-03-31","Arkansas","van buren","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12911688",-92.52627345,35.57365455,"county_centroid","Y","N","N",65,0,"","","","","SC","date","1928-3-31",1928-03-31,91,-13.2438057482656,1,1
"47","mexicana",21186197,"ANHC",2005,3,21,"2005-03-21","Arkansas","saline","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21186197",-92.67230801,34.65007785,"county_centroid","Y","N","N",65,0,"","","","","SC","","2005-3-21",2005-03-21,80,-24.2438057482656,1,1
"48","mexicana",22620212,"KANU",1965,4,20,"1965-04-20","Kansas","Pottawatomie","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620212",-96.41277,39.47097,"geo_referenced","Y","N","N",65,0,"","","","","SC","","1965-4-20",1965-04-20,110,5.75619425173439,1,1
"49","mexicana",12877129,"UARK",2001,3,23,"2001-03-23","Arkansas","lafayette","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877129",-93.60666142,33.23929763,"county_centroid","Y","N","Y",65,11,"","","","","SC","date","2001-3-23",2001-03-23,82,-22.2438057482656,3,2
"50","mexicana",19749858,"CAU",1978,4,6,"1978-04-06","Arkansas","Crittenden","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19749858",-90.261361,35.372698,"geo_referenced","Y","N","Y",65,11,"","","","","SC","","1978-4-6",1978-04-06,96,-8.24380574826561,3,2
"51","mexicana",12877072,"UARK",1969,4,5,"1969-04-05","Arkansas","franklin","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877072",-93.89830963,35.50546758,"county_centroid","Y","N","N",65,0,"","","","","SC","date","1969-4-5",1969-04-05,95,-9.24380574826561,1,1
"52","mexicana",22656719,"KANU",2006,4,6,"2006-04-06","Kansas","Anderson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22656719",-95.2526,38.1815,"geo_referenced","Y","N","N",65,0,"","","","","SC","","2006-4-6",2006-04-06,96,-8.24380574826561,1,1
"53","mexicana",22620188,"KANU",1969,5,5,"1969-05-05","Kansas","Anderson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620188",-95.24192,38.30957,"geo_referenced","Y","N","Y",65,17,"Y","two collection dates","Y","65 or 67?","SC","","1969-5-5",1969-05-05,125,20.7561942517344,5,3
"54","mexicana",12877054,"UARK",1980,4,7,"1980-04-07","Arkansas","crawford","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877054",-94.25175754,35.5843972,"county_centroid","Y","N","N",65,0,"","","","","SC","","1980-4-7",1980-04-07,98,-6.24380574826561,1,1
"55","mexicana",12877161,"UARK",2002,4,5,"2002-04-05","Arkansas","montgomery","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12877161",-93.65831855,34.54772903,"county_centroid","Y","N","Y",67,11,"","","Y","65 or 67?","SC","date","2002-4-5",2002-04-05,95,-9.24380574826561,3,2
"56","mexicana",13573885,"TEX",1947,4,7,"1947-04-07","Texas","grayson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13573885",-96.68307802,33.62637928,"county_centroid","Y","N","N",65,0,"Y","two collection dates","","","SC","","1947-4-7",1947-04-07,97,-7.24380574826561,1,1
"57","mexicana",16920040,"NCU",1968,3,30,"1968-03-30","Louisiana","bienville","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16920040",-93.04846889,32.35019442,"county_centroid","Y","N","Y",65,15,"","","","","SC","date","1968-3-30",1968-03-30,90,-14.2438057482656,4,2
"58","mexicana",10246781,"APCR",1979,3,28,"1979-03-28","Arkansas","yell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246781",-93.41370271,35.00455982,"county_centroid","Y","N","N",67,0,"","","","","SC","date","1979-3-28",1979-03-28,87,-17.2438057482656,1,1
"59","mexicana",25160670,"SAT",1977,3,25,"1977-03-25","Texas","mason","https://midwestherbaria.org/portal/collections/individual/index.php?occid=25160670",-99.24229061,30.71288723,"county_centroid","Y","N","Y",65,9,"Y","more than one collection date","","","SC","","1977-3-25",1977-03-25,84,-20.2438057482656,2,1
"60","mexicana",13497863,"TEX",1954,2,28,"1954-02-28","Texas","bell","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13497863",-97.48412794,31.04025414,"county_centroid","Y","N","N",65,0,"","","","","SC","","1954-2-28",1954-02-28,59,-45.2438057482656,1,1
"61","mexicana",21268930,"UAM",1990,3,28,"1990-03-28","Arkansas","phillips","https://midwestherbaria.org/portal/collections/individual/index.php?occid=21268930",-90.85023789,34.43593202,"county_centroid","Y","N","N",67,0,"","","Y","bbch.f value?","SC","","1990-3-28",1990-03-28,87,-17.2438057482656,1,1
"62","mexicana",5733566,"LSU",1980,3,13,"1980-03-13","Texas","travis","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5733566",-97.77699682,30.32867542,"county_centroid","Y","N","Y",67,9,"","","","","SC","","1980-3-13",1980-03-13,73,-31.2438057482656,2,1
"63","mexicana",10246812,"APCR",1971,3,8,"1971-03-08","Arkansas","pope","https://midwestherbaria.org/portal/collections/individual/index.php?occid=10246812",-93.03339602,35.44081908,"county_centroid","Y","N","Y",65,9,"","","","","SC","date","1971-3-8",1971-03-08,67,-37.2438057482656,2,1
"64","mexicana",13422268,"LL",1945,3,16,"1945-03-16","Texas","tarrant","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13422268",-97.29132438,32.76668758,"county_centroid","Y","N","N",65,0,"","","","","SC","","1945-3-16",1945-03-16,75,-29.2438057482656,1,1
"65","americana",16514005,"COLO",1965,4,19,"1965-04-19","Missouri","pulaski","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16514005",-92.20316979,37.82033466,"county_centroid","Y","N","N",65,0,"","","","","SC","date","1965-4-19",1965-04-19,109,4.75619425173439,1,1
"66","americana",20393125,"PH",1861,4,15,"1861-04-00","Pennsylvania","Philadelphia","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393125",-75.239762,39.966592,"geo_referenced","Y","N","Y",67,15,"","","Y","65 or 67?","SC","","1861-4-15",1861-04-15,105,0.756194251734385,4,2
"67","americana",5267442,"WIS",1976,5,8,"1976-05-08","Wisconsin","richland","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5267442",-90.42680565,43.38185921,"county_centroid","Y","N","Y",65,9,"","","","","SC","","1976-5-8",1976-05-08,129,24.7561942517344,2,1
"68","americana",5063097,"WIS",1997,5,25,"1997-05-25","Wisconsin","dane","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5063097",-89.42050383,43.06816145,"county_centroid","Y","N","Y",67,17,"","","","","SC","","1997-5-25",1997-05-25,145,40.7561942517344,5,3
"69","americana",5734174,"LSU",1966,4,9,"1966-04-09","Texas","newton","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5734174",-93.75126275,30.80378587,"county_centroid","Y","N","N",67,0,"","","","","SC","","1966-4-9",1966-04-09,99,-5.24380574826561,1,1
"70","americana",4209112,"BRY",1986,3,7,"1986-03-07","Utah","Washington","https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209112",-114.02103,37.14455,"geo_referenced","Y","N","N",65,0,"","","","","SC","","1986-3-7",1986-03-07,66,-38.2438057482656,1,1
"71","americana",13793104,"COLO",1961,5,9,"1961-05-09","Colorado","jefferson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13793104",-105.2485531,39.59053015,"county_centroid","Y","N","Y",65,11,"","","","","SC","","1961-5-9",1961-05-09,129,24.7561942517344,3,2
"72","americana",22620025,"KANU",1975,4,25,"1975-04-25","Kansas","Johnson","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22620025",-94.92723,38.83903,"geo_referenced","Y","N","Y",67,15,"","","","","SC","","1975-4-25",1975-04-25,115,10.7561942517344,4,2
"73","americana",5151782,"WIS",1957,5,7,"1957-05-07","Wisconsin","iowa","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5151782",-90.13356235,43.00165678,"county_centroid","Y","N","Y",65,15,"","","","","SC","","1957-5-7",1957-05-07,127,22.7561942517344,4,2
"74","americana",20393241,"PH",1891,5,2,"1891-05-02","Pennsylvania","York","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393241",-76.534086,40.05083,"geo_referenced","Y","N","Y",65,17,"","","","","SC","","1891-5-2",1891-05-02,122,17.7561942517344,5,3
"75","americana",16905224,"COCO",1978,5,9,"1978-05-09","Colorado","el paso","https://midwestherbaria.org/portal/collections/individual/index.php?occid=16905224",-104.5174584,38.82498969,"county_centroid","Y","N","Y",65,15,"","","","","SC","","1978-5-9",1978-05-09,129,24.7561942517344,4,2
"76","americana",22883929,"UNCC",1968,4,9,"1968-04-09","North Carolina","durham","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22883929",-78.88289514,36.02984528,"county_centroid","Y","N","Y",65,15,"","","","","SC","date","1968-4-9",1968-04-09,100,-4.24380574826561,4,2
"77","americana",4995660,"WIS",1960,5,8,"1960-05-08","Wisconsin","trempealeau","https://midwestherbaria.org/portal/collections/individual/index.php?occid=4995660",-91.36023038,44.30886042,"county_centroid","Y","N","Y",67,15,"","","Y","65 or 67?","SC","","1960-5-8",1960-05-08,129,24.7561942517344,4,2
"78","americana",20393211,"PH",1909,5,9,"1909-05-09","Pennsylvania","lehigh","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393211",-75.59169798,40.61643793,"county_centroid","Y","N","Y",65,11,"Y","two collection dates","Y","is there two different?","SC","","1909-5-9",1909-05-09,129,24.7561942517344,3,2
"79","americana",15928954,"NCU",1932,4,13,"1932-04-13","North Carolina","orange","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15928954",-79.1273705,36.05478028,"county_centroid","Y","N","Y",65,15,"","","","","SC","date","1932-4-13",1932-04-13,104,-0.243805748265615,4,2
"80","americana",5102528,"WIS",1977,5,27,"1977-05-27","Wisconsin","door","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5102528",-87.34439183,44.91051855,"county_centroid","Y","N","Y",65,15,"","","","","SC","","1977-5-27",1977-05-27,147,42.7561942517344,4,2
"81","americana",5809669,"MISSA",1957,3,15,"1957-03-15","Mississippi","oktibbeha","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5809669",-88.87310961,33.4219717,"county_centroid","Y","N","Y",67,17,"","","","","SC","","1957-3-15",1957-03-15,74,-30.2438057482656,5,3
"82","americana",5168244,"WIS",1967,5,15,"1967-05-15","Wisconsin","waukesha","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5168244",-88.30065305,43.01909719,"county_centroid","Y","N","Y",65,15,"","","","","SC","","1967-5-15",1967-05-15,135,30.7561942517344,4,2
"83","americana",11583901,"IND",1911,4,19,"1911-04-19","Indiana","Harrison","https://midwestherbaria.org/portal/collections/individual/index.php?occid=11583901",-86.211017,38.285626,"geo_referenced","Y","N","Y",65,15,"","","Y","65 or 67?","SC","","1911-4-19",1911-04-19,109,4.75619425173439,4,2
"84","americana",12547993,"CHRB",1980,4,15,"","New Jersey","mercer","https://midwestherbaria.org/portal/collections/individual/index.php?occid=12547993",-74.69454763,40.28633596,"county_centroid","Y","N","Y",67,15,"Y","two collection dates","","","SC","","1980-4-15",1980-04-15,106,1.75619425173439,4,2
"85","americana",24591975,"NCU",1933,5,15,"","North Carolina","guilford","https://midwestherbaria.org/portal/collections/individual/index.php?occid=24591975",-79.78689405,36.07109854,"county_centroid","Y","N","Y",67,11,"Y","incomplete date","","","SC","date","1933-5-15",1933-05-15,135,30.7561942517344,3,2
"86","americana",13268948,"TENN",2004,4,17,"2004-04-17","Tennessee","hickman","https://midwestherbaria.org/portal/collections/individual/index.php?occid=13268948",-87.47965756,35.80921494,"county_centroid","Y","N","Y",67,15,"","","","","SC","date","2004-4-17",2004-04-17,108,3.75619425173439,4,2
"87","americana",4209099,"BRY",1983,5,3,"1983-05-03","Utah","Utah","https://midwestherbaria.org/portal/collections/individual/index.php?occid=4209099",-111.65499,40.24454,"geo_referenced","Y","N","Y",65,11,"","","","","SC","","1983-5-3",1983-05-03,123,18.7561942517344,3,2
"88","americana",20393207,"PH",1916,5,19,"1916-05-19","Pennsylvania","lehigh","https://midwestherbaria.org/portal/collections/individual/index.php?occid=20393207",-75.59169798,40.61643793,"county_centroid","Y","N","Y",65,17,"","","","","SC","","1916-5-19",1916-05-19,140,35.7561942517344,5,3
"89","americana",3849034,"APSC",1994,4,10,"1994-04-10","Kentucky","christian","https://midwestherbaria.org/portal/collections/individual/index.php?occid=3849034",-87.48503111,36.89254854,"county_centroid","Y","N","Y",67,9,"","","","","SC","","1994-4-10",1994-04-10,100,-4.24380574826561,2,1
"90","americana",4940252,"WIS",1957,5,4,"1957-05-04","Wisconsin","rock","https://midwestherbaria.org/portal/collections/individual/index.php?occid=4940252",-89.07666033,42.67161866,"county_centroid","Y","N","Y",65,10,"","","","","SC","","1957-5-4",1957-05-04,124,19.7561942517344,3,2
"91","americana",5011324,"WIS",1957,5,3,"1957-05-03","Wisconsin","iowa","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5011324",-90.13356235,43.00165678,"county_centroid","Y","N","Y",65,10,"","","","","SC","","1957-5-3",1957-05-03,123,18.7561942517344,3,2
"92","americana",15221811,"NY",1983,4,10,"1983-04-10","Utah","Washington Co.","https://midwestherbaria.org/portal/collections/individual/index.php?occid=15221811",-113.0065,37.1932,"geo_referenced","Y","N","Y",65,11,"","","","","SC","","1983-4-10",1983-04-10,100,-4.24380574826561,3,2
"93","americana",19211342,"UCHT",2001,4,19,"2001-04-19","Tennessee","roane","https://midwestherbaria.org/portal/collections/individual/index.php?occid=19211342",-84.51270263,35.85237704,"county_centroid","Y","N","Y",65,15,"","","","","SC","date","2001-4-19",2001-04-19,109,4.75619425173439,4,2
"94","americana",22480413,"KANU",1970,5,21,"1970-05-21","South Dakota","Pennington","https://midwestherbaria.org/portal/collections/individual/index.php?occid=22480413",-103.45703,44.09247,"geo_referenced","Y","N","Y",65,10,"","","","","SC","","1970-5-21",1970-05-21,141,36.7561942517344,3,2
"95","americana",5040021,"WIS",1964,5,23,"1964-05-23","Wisconsin","dane","https://midwestherbaria.org/portal/collections/individual/index.php?occid=5040021",-89.42050383,43.06816145,"county_centroid","Y","N","Y",65,10,"Y","two collection dates","","","SC","","1964-5-23",1964-05-23,144,39.7561942517344,3,2
