Site_ID,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Individual_ID,Phenophase_ID,Phenophase_Description,First_Yes_Year,First_Yes_Month,First_Yes_Day,First_Yes_DOY,First_Yes_Julian_Date,NumDays_Since_Prior_No,Last_Yes_Year,Last_Yes_Month,Last_Yes_Day,Last_Yes_DOY,Last_Yes_Julian_Date,NumDays_Until_Next_No
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,371,Breaking leaf buds,2015,5,22,142,2457165,3,2015,5,30,150,2457173,8
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,371,Breaking leaf buds,2015,6,26,177,2457200,4,2015,6,26,177,2457200,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,371,Breaking leaf buds,2015,7,10,191,2457214,4,2015,7,10,191,2457214,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,371,Breaking leaf buds,2015,5,18,138,2457161,-9999,2015,6,7,158,2457181,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,371,Breaking leaf buds,2015,6,21,172,2457195,5,2015,6,21,172,2457195,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,371,Breaking leaf buds,2015,6,26,177,2457200,4,2015,6,26,177,2457200,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,371,Breaking leaf buds,2015,7,10,191,2457214,4,2015,7,10,191,2457214,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,371,Breaking leaf buds,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,371,Breaking leaf buds,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,371,Breaking leaf buds,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,371,Breaking leaf buds,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,371,Breaking leaf buds,2015,5,18,138,2457161,-9999,2015,6,7,158,2457181,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,371,Breaking leaf buds,2015,6,21,172,2457195,5,2015,6,21,172,2457195,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,371,Breaking leaf buds,2015,6,26,177,2457200,4,2015,6,26,177,2457200,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,371,Breaking leaf buds,2015,7,10,191,2457214,4,2015,7,10,191,2457214,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,371,Breaking leaf buds,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,371,Breaking leaf buds,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,371,Breaking leaf buds,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,371,Breaking leaf buds,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,371,Breaking leaf buds,2015,5,18,138,2457161,-9999,2015,6,7,158,2457181,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,371,Breaking leaf buds,2015,6,14,165,2457188,1,2015,6,21,172,2457195,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,371,Breaking leaf buds,2015,6,26,177,2457200,4,2015,6,27,178,2457201,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,371,Breaking leaf buds,2015,7,10,191,2457214,4,2015,7,10,191,2457214,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,371,Breaking leaf buds,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,371,Breaking leaf buds,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,371,Breaking leaf buds,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,371,Breaking leaf buds,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,390,Ripe fruits,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,390,Ripe fruits,2015,8,28,240,2457263,4,2015,11,2,306,2457329,7
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,390,Ripe fruits,2015,11,13,317,2457340,4,2015,11,13,317,2457340,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,390,Ripe fruits,2015,11,20,324,2457347,4,2015,11,20,324,2457347,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,390,Ripe fruits,2015,11,26,330,2457353,3,2015,11,26,330,2457353,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,390,Ripe fruits,2015,12,5,339,2457362,3,2015,12,19,353,2457376,5
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,390,Ripe fruits,2015,12,26,360,2457383,2,2015,12,26,360,2457383,-9999
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,390,Ripe fruits,2015,8,31,243,2457266,14,2015,9,7,250,2457273,8
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,390,Ripe fruits,2015,9,21,264,2457287,6,2015,9,21,264,2457287,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,390,Ripe fruits,2015,10,11,284,2457307,14,2015,11,2,306,2457329,7
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,390,Ripe fruits,2015,8,28,240,2457263,4,2015,11,7,311,2457334,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,390,Ripe fruits,2015,11,13,317,2457340,4,2015,11,13,317,2457340,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,390,Ripe fruits,2015,11,20,324,2457347,4,2015,11,20,324,2457347,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,390,Ripe fruits,2015,11,26,330,2457353,3,2015,11,26,330,2457353,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,390,Ripe fruits,2015,12,5,339,2457362,3,2015,12,19,353,2457376,5
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,390,Ripe fruits,2015,12,26,360,2457383,2,2015,12,26,360,2457383,-9999
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,390,Ripe fruits,2015,9,4,247,2457270,7,2015,9,4,247,2457270,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,390,Ripe fruits,2015,9,11,254,2457277,5,2015,9,11,254,2457277,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,390,Ripe fruits,2015,9,19,262,2457285,4,2015,9,21,264,2457287,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,390,Ripe fruits,2015,10,9,282,2457305,12,2015,11,2,306,2457329,7
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,390,Ripe fruits,2015,11,13,317,2457340,4,2015,11,13,317,2457340,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,390,Ripe fruits,2015,11,20,324,2457347,4,2015,11,20,324,2457347,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,390,Ripe fruits,2015,11,26,330,2457353,3,2015,11,26,330,2457353,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,390,Ripe fruits,2015,12,5,339,2457362,3,2015,12,19,353,2457376,5
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,390,Ripe fruits,2015,12,26,360,2457383,2,2015,12,26,360,2457383,-9999
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,390,Ripe fruits,2015,8,16,228,2457251,6,2015,11,20,324,2457347,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,390,Ripe fruits,2015,11,26,330,2457353,3,2015,11,26,330,2457353,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,390,Ripe fruits,2015,12,5,339,2457362,3,2015,12,19,353,2457376,5
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,390,Ripe fruits,2015,12,26,360,2457383,2,2015,12,26,360,2457383,-9999
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,467,Increasing leaf size,2015,5,18,138,2457161,-9999,2015,5,18,138,2457161,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,467,Increasing leaf size,2015,7,13,194,2457217,3,2015,7,13,194,2457217,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,467,Increasing leaf size,2015,5,18,138,2457161,-9999,2015,5,19,139,2457162,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,467,Increasing leaf size,2015,7,13,194,2457217,3,2015,7,13,194,2457217,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,467,Increasing leaf size,2015,5,18,138,2457161,-9999,2015,5,18,138,2457161,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,467,Increasing leaf size,2015,5,18,138,2457161,-9999,2015,5,19,139,2457162,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,467,Increasing leaf size,2015,5,18,138,2457161,-9999,2015,5,30,150,2457173,8
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,471,Falling leaves,2015,7,26,207,2457230,5,2015,7,26,207,2457230,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,471,Falling leaves,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,471,Falling leaves,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,471,Falling leaves,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,471,Falling leaves,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,471,Falling leaves,2015,9,7,250,2457273,1,2015,9,11,254,2457277,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,471,Falling leaves,2015,9,19,262,2457285,5,2015,9,19,262,2457285,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,471,Falling leaves,2015,9,27,270,2457293,6,2015,9,27,270,2457293,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,471,Falling leaves,2015,10,5,278,2457301,7,2015,11,1,305,2457328,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,471,Falling leaves,2015,9,7,250,2457273,1,2015,9,7,250,2457273,7
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,471,Falling leaves,2015,9,27,270,2457293,6,2015,9,28,271,2457294,7
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,471,Falling leaves,2015,10,11,284,2457307,6,2015,11,2,306,2457329,7
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,471,Falling leaves,2015,7,26,207,2457230,5,2015,7,26,207,2457230,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,471,Falling leaves,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,471,Falling leaves,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,471,Falling leaves,2015,9,7,250,2457273,1,2015,11,2,306,2457329,5
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,471,Falling leaves,2015,9,15,258,2457281,1,2015,9,19,262,2457285,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,471,Falling leaves,2015,9,27,270,2457293,6,2015,9,27,270,2457293,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,471,Falling leaves,2015,10,9,282,2457305,4,2015,11,2,306,2457329,5
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,471,Falling leaves,2015,7,26,207,2457230,5,2015,7,26,207,2457230,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,471,Falling leaves,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,471,Falling leaves,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,471,Falling leaves,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,471,Falling leaves,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,471,Falling leaves,2015,9,7,250,2457273,1,2015,9,19,262,2457285,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,471,Falling leaves,2015,9,27,270,2457293,6,2015,11,1,305,2457328,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,483,Leaves,2015,5,18,138,2457161,-9999,2015,11,1,305,2457328,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,483,Leaves,2015,5,18,138,2457161,-9999,2015,11,2,306,2457329,7
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,483,Leaves,2015,5,18,138,2457161,-9999,2015,11,2,306,2457329,5
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,483,Leaves,2015,5,18,138,2457161,-9999,2015,11,2,306,2457329,5
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,483,Leaves,2015,5,18,138,2457161,-9999,2015,11,1,305,2457328,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,498,Colored leaves,2015,7,26,207,2457230,5,2015,7,26,207,2457230,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,498,Colored leaves,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,498,Colored leaves,2015,9,7,250,2457273,1,2015,9,14,257,2457280,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,498,Colored leaves,2015,9,19,262,2457285,4,2015,9,19,262,2457285,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,498,Colored leaves,2015,9,27,270,2457293,6,2015,9,27,270,2457293,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,498,Colored leaves,2015,10,5,278,2457301,7,2015,11,1,305,2457328,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,498,Colored leaves,2015,9,6,249,2457272,6,2015,9,7,250,2457273,7
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,498,Colored leaves,2015,9,27,270,2457293,6,2015,11,2,306,2457329,7
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,498,Colored leaves,2015,7,26,207,2457230,5,2015,7,26,207,2457230,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,498,Colored leaves,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,498,Colored leaves,2015,9,4,247,2457270,4,2015,9,4,247,2457270,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,498,Colored leaves,2015,9,7,250,2457273,1,2015,11,2,306,2457329,5
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,498,Colored leaves,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,498,Colored leaves,2015,9,11,254,2457277,4,2015,9,11,254,2457277,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,498,Colored leaves,2015,9,19,262,2457285,4,2015,9,19,262,2457285,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,498,Colored leaves,2015,9,27,270,2457293,6,2015,9,27,270,2457293,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85763,498,Colored leaves,2015,10,9,282,2457305,4,2015,11,2,306,2457329,5
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,498,Colored leaves,2015,7,26,207,2457230,5,2015,7,26,207,2457230,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,498,Colored leaves,2015,8,6,218,2457241,3,2015,8,6,218,2457241,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,498,Colored leaves,2015,8,16,228,2457251,6,2015,8,16,228,2457251,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,498,Colored leaves,2015,8,28,240,2457263,4,2015,8,28,240,2457263,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,498,Colored leaves,2015,9,4,247,2457270,4,2015,9,19,262,2457285,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85764,498,Colored leaves,2015,9,27,270,2457293,6,2015,11,1,305,2457328,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,5,18,138,2457161,-9999,2015,5,18,138,2457161,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,5,30,150,2457173,8,2015,6,22,173,2457196,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,6,27,178,2457201,1,2015,9,4,247,2457270,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,9,7,250,2457273,1,2015,9,11,254,2457277,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,9,15,258,2457281,1,2015,9,19,262,2457285,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,9,27,270,2457293,6,2015,9,27,270,2457293,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,10,9,282,2457305,4,2015,10,9,282,2457305,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,10,16,289,2457312,5,2015,10,16,289,2457312,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,10,23,296,2457319,4,2015,10,23,296,2457319,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,11,1,305,2457328,6,2015,11,1,305,2457328,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,11,7,311,2457334,5,2015,11,7,311,2457334,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,11,13,317,2457340,4,2015,11,13,317,2457340,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,11,20,324,2457347,4,2015,11,20,324,2457347,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,11,26,330,2457353,3,2015,11,26,330,2457353,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,12,5,339,2457362,3,2015,12,19,353,2457376,5
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85759,500,Flowers or flower buds,2015,12,26,360,2457383,2,2015,12,26,360,2457383,-9999
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,500,Flowers or flower buds,2015,5,19,139,2457162,-9999,2015,5,19,139,2457162,3
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,500,Flowers or flower buds,2015,5,30,150,2457173,8,2015,6,22,173,2457196,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,500,Flowers or flower buds,2015,6,30,181,2457204,4,2015,8,31,243,2457266,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,500,Flowers or flower buds,2015,9,7,250,2457273,1,2015,9,7,250,2457273,7
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,500,Flowers or flower buds,2015,9,15,258,2457281,1,2015,9,15,258,2457281,6
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85761,500,Flowers or flower buds,2015,9,27,270,2457293,6,2015,9,27,270,2457293,1
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,500,Flowers or flower buds,2015,5,18,138,2457161,-9999,2015,5,18,138,2457161,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,500,Flowers or flower buds,2015,5,30,150,2457173,8,2015,6,22,173,2457196,4
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,500,Flowers or flower buds,2015,6,27,178,2457201,1,2015,9,4,247,2457270,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,500,Flowers or flower buds,2015,9,7,250,2457273,1,2015,9,19,262,2457285,2
20206,42.301922,-71.123932,36,MA,97,Betula,alleghaniensis,yellow birch,Plantae,85762,500,Flowers or flower buds,2015,9,27,270,2457293,6,2015,9,27,270,2457293,1
