name,GEN.SPA,Force,Light,Chill,good_flaskid,11/23/17,11/26/17,11/28/17,12/1/17,,,,,,,,,12/3/17,,,,,,,,,12/5/17,,,,,,,,
CORCOR 17 HF DB,COR.COR,W,S,0,WS0_6,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
ILEVER05 HF DB,ILE.VER,W,S,0,WS0_6,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUPEN 24 HF DB,PRU.PEN,W,S,0,WS0_6,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETALL25 HF DB,BET.ALL,W,S,0,WS0_5,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEMUC 9 HF DB,ILE.MUC,W,S,0,WS0_5,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIBACE09 HF DB,VIB.ACE,W,S,0,WS0_5,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETALL25 HF DB,BET.ALL,W,S,0,WS0_4,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
CORCOR 16 HF DB,COR.COR,W,S,0,WS0_4,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0
ILEVER07 HF DB,ILE.VER,W,S,0,WS0_4,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEPEN15 HF DB,ACE.PEN,W,S,0,WS0_3,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACERUB26 HF DB,ACE.RUB,W,S,0,WS0_3,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEMUC 13 HF DB,ILE.MUC,W,S,0,WS0_3,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETALL33 HF DB,BET.ALL,W,S,0,WS0_24,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEVER03 HF DB,ILE.VER,W,S,0,WS0_24,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VACCOR 89 HF DB,VAC.COR,W,S,0,WS0_24,-,-,-,0,0,1,9,0,0,1,9,0,0,0,1,9,0,0,1,9,0,0,0,1,9,0,0,0,9,0
ACERUB23 HF DB,ACE.RUB,W,S,0,WS0_23,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ILEVER ? HF DB,ILE.VER,W,S,0,WS0_23,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VACCOR 3 HF DB,VAC.COR,W,S,0,WS0_23,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEPEN15 HF DB,ACE.PEN,W,S,0,WS0_22,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEVER03 HF DB,ILE.VER,W,S,0,WS0_22,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUPEN 22 HF DB,PRU.PEN,W,S,0,WS0_22,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACESAC13 HF DB,ACE.SAC,W,S,0,WS0_21,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPER 6 HF DB,COM.PER,W,S,0,WS0_21,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
PRUVIR 4 HF DB,PRU.VIR,W,S,0,WS0_21,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEMUC 9 HF DB,ILE.MUC,W,S,0,WS0_20,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUPEN 22 HF DB,PRU.PEN,W,S,0,WS0_20,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0
VIBACE10 HF DB,VIB.ACE,W,S,0,WS0_20,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEPEN15 HF DB,ACE.PEN,W,S,0,WS0_2,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPER 8 HF DB,COM.PER,W,S,0,WS0_2,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
PRUVIR 6 HF DB,PRU.VIR,W,S,0,WS0_2,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
CORCOR16 HF,COR.COR,W,S,0,WS0_19,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUPEN 23 HF DB,PRU.PEN,W,S,0,WS0_19,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUVIR 6 HF DB,PRU.VIR,W,S,0,WS0_19,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ACESAC18 HF DB,ACE.SAC,W,S,0,WS0_18,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEMUC 10 HF DB,ILE.MUC,W,S,0,WS0_18,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIBACE02 HF DB,VIB.ACE,W,S,0,WS0_18,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEPEN19 HF DB,ACE.PEN,W,S,0,WS0_17,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ACERUB25 HF DB,ACE.RUB,W,S,0,WS0_17,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PRUPEN 24 HF DB,PRU.PEN,W,S,0,WS0_17,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPER 3 HF DB,COM.PER,W,S,0,WS0_16,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
VACCOR 2 HF DB,VAC.COR,W,S,0,WS0_16,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
VIBACE02 HF DB,VIB.ACE,W,S,0,WS0_16,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACERUB26 HF DB,ACE.RUB,W,S,0,WS0_15,-,-,-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COMPER 8 HF DB,COM.PER,W,S,0,WS0_15,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
PRUVIR 6 HF DB,PRU.VIR,W,S,0,WS0_15,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACESAC13 HF DB,ACE.SAC,W,S,0,WS0_14,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUVIR 4 HF DB,PRU.VIR,W,S,0,WS0_14,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VACCOR 1 HF DB,VAC.COR,W,S,0,WS0_14,-,-,-,0,0,0,7,0,0,0,7,0,0,0,1,9,0,0,0,9,0,0,0,0,9,0,0,0,9,0
ACESAC18 HF DB,ACE.SAC,W,S,0,WS0_13,-,-,-,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETALL25 HF DB,BET.ALL,W,S,0,WS0_13,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORCOR07_HF,COR.COR,W,S,0,WS0_13,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACERUB23 HF DB,ACE.RUB,W,S,0,WS0_12,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
BETALL33 HF DB,BET.ALL,W,S,0,WS0_12,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUPEN 24 HF DB,PRU.PEN,W,S,0,WS0_12,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPER 6 HF DB,COM.PER,W,S,0,WS0_11,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORCOR14 HF DB,COR.COR,W,S,0,WS0_11,-,-,-,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ILEMUC 10 HF DB,ILE.MUC,W,S,0,WS0_11,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEPEN14 HF DB,ACE.PEN,W,S,0,WS0_10,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEMUC 12 HF DB,ILE.MUC,W,S,0,WS0_10,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIBACE07 HF DB,VIB.ACE,W,S,0,WS0_10,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACERUB29 HF DB,ACE.RUB,W,S,0,WS0_1,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CORCOR08_HF,COR.COR,W,S,0,WS0_1,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VACCOR 11 HF DB,VAC.COR,W,S,0,WS0_1,-,-,-,0,0,7,9,0,0,0,9,0,0,0,7,9,0,0,0,9,0,0,0,0,9,0,0,0,9,0
ACERUB22 HF DB,ACE.RUB,W,L,0,WL0_9,-,-,-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BETALL25 HF DB,BET.ALL,W,L,0,WL0_9,-,-,-,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ILEMUC 13 HF DB,ILE.MUC,W,L,0,WL0_9,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACERUB25 HF DB,ACE.RUB,W,L,0,WL0_8,-,-,-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CORCOR06 HF,COR.COR,W,L,0,WL0_8,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ILEMUC 9 HF DB,ILE.MUC,W,L,0,WL0_8,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUPEN 23 HF DB,PRU.PEN,W,L,0,WL0_7,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUVIR 5 HF DB,PRU.VIR,W,L,0,WL0_7,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
VIBACE04 HF DB,VIB.ACE,W,L,0,WL0_7,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUVIR 7 HF DB,PRU.VIR,W,L,0,WL0_6,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VACCOR 1 HF DB,VAC.COR,W,L,0,WL0_6,-,-,-,0,0,1,1,0,0,0,1,0,0,0,1,7,0,0,0,7,0,0,0,1,7,0,0,0,7,0
VIBACE02 HF DB,VIB.ACE,W,L,0,WL0_6,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACESAC12 HF DB,ACE.SAC,W,L,0,WL0_5,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETALL26 HF DB,BET.ALL,W,L,0,WL0_5,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
ILEMUC 13 HF DB,ILE.MUC,W,L,0,WL0_5,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORCOR 16 HF DB,COR.COR,W,L,0,WL0_4,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEVER01 HF DB,ILE.VER,W,L,0,WL0_4,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIBACE HF9 DB,VIB.ACE,W,L,0,WL0_4,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPER 8 HF DB,COM.PER,W,L,0,WL0_3,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ILEVER08 HF DB,ILE.VER,W,L,0,WL0_3,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIBACE08 HF DB,VIB.ACE,W,L,0,WL0_3,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORCOR 16 HF DB,COR.COR,W,L,0,WL0_24,-,-,-,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
ILEVER01 HF DB,ILE.VER,W,L,0,WL0_24,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUVIR 4 HF DB,PRU.VIR,W,L,0,WL0_24,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORCOR 16 HF DB,COR.COR,W,L,0,WL0_23,-,-,-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PRUPEN 26 HF DB,PRU.PEN,W,L,0,WL0_23,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VACCOR 6 HF DB,VAC.COR,W,L,0,WL0_23,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEPEN14 HF DB,ACE.PEN,W,L,0,WL0_22,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ACESAC13 HF DB,ACE.SAC,W,L,0,WL0_22,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPER ? HF DB,COM.PER,W,L,0,WL0_22,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEPEN17 HF DB,ACE.PEN,W,L,0,WL0_21,-,-,-,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACESAC16 HF DB,ACE.SAC,W,L,0,WL0_21,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEMUC 11 HF DB,ILE.MUC,W,L,0,WL0_21,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEPEN15 HF DB,ACE.PEN,W,L,0,WL0_20,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACERUB25 HF DB,ACE.RUB,W,L,0,WL0_20,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PRUPEN 21 HF DB,PRU.PEN,W,L,0,WL0_20,-,-,-,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,0,0,1,1,0,NA,NA,NA,NA,0,0,1,1,0
ACEPEN17 HF DB,ACE.PEN,W,L,0,WL0_2,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUPEN 23 HF DB,PRU.PEN,W,L,0,WL0_2,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUVIR 6 HF DB,PRU.VIR,W,L,0,WL0_2,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACESAC17 HF DB,ACE.SAC,W,L,0,WL0_19,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEMUC 10 HF DB,ILE.MUC,W,L,0,WL0_19,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUVIR 3 HF DB,PRU.VIR,W,L,0,WL0_19,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACERUB25 HF DB,ACE.RUB,W,L,0,WL0_18,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BETALL32 HF DB,BET.ALL,W,L,0,WL0_18,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
VACCOR 7 HF DB,VAC.COR,W,L,0,WL0_18,-,-,-,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0
ACERUB22 HF DB,ACE.RUB,W,L,0,WL0_17,-,-,-,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ILEMUC 10 HF DB,ILE.MUC,W,L,0,WL0_17,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIBACE5 HF DB,VIB.ACE,W,L,0,WL0_17,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACESAC17 HF DB,ACE.SAC,W,L,0,WL0_16,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VACCOR 11 HF DB,VAC.COR,W,L,0,WL0_16,-,-,-,0,0,1,7,0,0,0,9,0,0,0,1,7,0,0,0,9,0,0,0,1,9,0,0,1,9,0
VIBACE01 HF DB,VIB.ACE,W,L,0,WL0_16,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACEPEN18 HF DB,ACE.PEN,W,L,0,WL0_15,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACERUB23 HF DB,ACE.RUB,W,L,0,WL0_15,-,-,-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BETALL32 HF DB,BET.ALL,W,L,0,WL0_15,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPER 3 HF DB,COM.PER,W,L,0,WL0_14,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ILEVER10 HF DB,ILE.VER,W,L,0,WL0_14,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VACCOR 2 HF DB,VAC.COR,W,L,0,WL0_14,-,-,-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COMPER 5 HF DB,COM.PER,W,L,0,WL0_13,-,-,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
ILEVER07 HF DB,ILE.VER,W,L,0,WL0_13,-,-,-,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUPEN 24 HF DB,PRU.PEN,W,L,0,WL0_13,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETALL25 HF DB,BET.ALL,W,L,0,WL0_12,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEVER04 HF DB,ILE.VER,W,L,0,WL0_12,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VACCOR 11 HF DB,VAC.COR,W,L,0,WL0_12,-,-,-,0,0,0,9,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,9,9,0,0,0,0,0
COMPER 5 HF DB,COM.PER,W,L,0,WL0_11,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
PRUPEN 23 HF DB,PRU.PEN,W,L,0,WL0_11,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUVIR 5 HF DB,PRU.VIR,W,L,0,WL0_11,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
ACESAC18 HF DB,ACE.SAC,W,L,0,WL0_10,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPER 6 HF DB,COM.PER,W,L,0,WL0_10,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CORCOR 15 HF DB,COR.COR,W,L,0,WL0_10,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ACEPEN18 HF DB,ACE.PEN,W,L,0,WL0_1,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETALL32 HF DB,BET.ALL,W,L,0,WL0_1,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORCOR 17 HF DB,COR.COR,W,L,0,WL0_1,-,-,-,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
ACERUB25 HF DB,ACE.RUB,C,S,0,CS0_9,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILEVER09 HF DB1,ILE.VER,C,S,0,CS0_9,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRUPEN16 HF DB,PRU.PEN,C,S,0,CS0_9,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACERUB29 HF DB,ACE.RUB,C,S,0,CS0_8,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
