"id","leaf_day(15)","flo_day","budburst(9)","Leaf_expand(11)","name","GEN.SPA","Force","Light","Chill","good_flaskid"
"PRUPEN 22 HF DB_WS0_22",26,33,19,21,"PRUPEN 22 HF DB","PRU.PEN","W","L",0,"WS0_22"
"ACESAC13 HF DB_WS0_21",70,NA,68,68,"ACESAC13 HF DB","ACE.SAC","W","L",0,"WS0_21"
"COMPER 6 HF DB_WS0_21",47,21,30,40,"COMPER 6 HF DB","COM.PER","W","L",0,"WS0_21"
"PRUVIR 4 HF DB_WS0_21",NA,NA,NA,NA,"PRUVIR 4 HF DB","PRU.VIR","W","L",0,"WS0_21"
"ILEMUC 9 HF DB_WS0_20",45,NA,37,42,"ILEMUC 9 HF DB","ILE.MUC","W","L",0,"WS0_20"
"PRUPEN 22 HF DB_WS0_20",33,26,14,19,"PRUPEN 22 HF DB","PRU.PEN","W","L",0,"WS0_20"
"VIBACE10 HF DB_WS0_20",NA,NA,61,93,"VIBACE10 HF DB","VIB.ACE","W","L",0,"WS0_20"
"ACEPEN15 HF DB_WS0_2",54,NA,45,52,"ACEPEN15 HF DB","ACE.PEN","W","L",0,"WS0_2"
"COMPER 8 HF DB_WS0_2",NA,NA,NA,NA,"COMPER 8 HF DB","COM.PER","W","L",0,"WS0_2"
"PRUVIR 6 HF DB_WS0_2",45,50,26,40,"PRUVIR 6 HF DB","PRU.VIR","W","L",0,"WS0_2"
"CORCOR16 HF_WS0_19",NA,73,104,107,"CORCOR16 HF","COR.COR","W","L",0,"WS0_19"
"PRUPEN 23 HF DB_WS0_19",NA,NA,NA,NA,"PRUPEN 23 HF DB","PRU.PEN","W","L",0,"WS0_19"
"PRUVIR 6 HF DB_WS0_19",NA,NA,93,107,"PRUVIR 6 HF DB","PRU.VIR","W","L",0,"WS0_19"
"ACESAC18 HF DB_WS0_18",NA,NA,NA,NA,"ACESAC18 HF DB","ACE.SAC","W","L",0,"WS0_18"
"ILEMUC 10 HF DB_WS0_18",33,33,23,30,"ILEMUC 10 HF DB","ILE.MUC","W","L",0,"WS0_18"
"VIBACE02 HF DB_WS0_18",NA,NA,42,110,"VIBACE02 HF DB","VIB.ACE","W","L",0,"WS0_18"
"ACEPEN19 HF DB_WS0_17",65,NA,56,63,"ACEPEN19 HF DB","ACE.PEN","W","L",0,"WS0_17"
"ACERUB25 HF DB_WS0_17",NA,NA,NA,NA,"ACERUB25 HF DB","ACE.RUB","W","L",0,"WS0_17"
"PRUPEN 24 HF DB_WS0_17",21,NA,16,19,"PRUPEN 24 HF DB","PRU.PEN","W","L",0,"WS0_17"
"COMPER 3 HF DB_WS0_16",NA,NA,NA,NA,"COMPER 3 HF DB","COM.PER","W","L",0,"WS0_16"
"VACCOR 2 HF DB_WS0_16",28,NA,19,21,"VACCOR 2 HF DB","VAC.COR","W","L",0,"WS0_16"
"VIBACE02 HF DB_WS0_16",NA,NA,NA,NA,"VIBACE02 HF DB","VIB.ACE","W","L",0,"WS0_16"
"ACERUB26 HF DB_WS0_15",NA,NA,NA,NA,"ACERUB26 HF DB","ACE.RUB","W","L",0,"WS0_15"
"COMPER 8 HF DB_WS0_15",NA,NA,NA,NA,"COMPER 8 HF DB","COM.PER","W","L",0,"WS0_15"
"PRUVIR 6 HF DB_WS0_15",82,96,79,79,"PRUVIR 6 HF DB","PRU.VIR","W","L",0,"WS0_15"
"ACESAC13 HF DB_WS0_14",NA,NA,NA,NA,"ACESAC13 HF DB","ACE.SAC","W","L",0,"WS0_14"
"PRUVIR 4 HF DB_WS0_14",56,NA,45,45,"PRUVIR 4 HF DB","PRU.VIR","W","L",0,"WS0_14"
"VACCOR 1 HF DB_WS0_14",37,26,30,35,"VACCOR 1 HF DB","VAC.COR","W","L",0,"WS0_14"
"ACESAC18 HF DB_WS0_13",NA,NA,NA,NA,"ACESAC18 HF DB","ACE.SAC","W","L",0,"WS0_13"
"BETALL25 HF DB_WS0_13",63,NA,35,37,"BETALL25 HF DB","BET.ALL","W","L",0,"WS0_13"
"CORCOR07_HF_WS0_13",NA,NA,90,NA,"CORCOR07_HF","COR.COR","W","L",0,"WS0_13"
"ACERUB23 HF DB_WS0_12",NA,NA,NA,NA,"ACERUB23 HF DB","ACE.RUB","W","L",0,"WS0_12"
"BETALL33 HF DB_WS0_12",79,NA,68,68,"BETALL33 HF DB","BET.ALL","W","L",0,"WS0_12"
"PRUPEN 24 HF DB_WS0_12",21,28,16,19,"PRUPEN 24 HF DB","PRU.PEN","W","L",0,"WS0_12"
"COMPER 6 HF DB_WS0_11",NA,NA,NA,NA,"COMPER 6 HF DB","COM.PER","W","L",0,"WS0_11"
"CORCOR14 HF DB_WS0_11",76,NA,63,68,"CORCOR14 HF DB","COR.COR","W","L",0,"WS0_11"
"ILEMUC 10 HF DB_WS0_11",33,33,33,33,"ILEMUC 10 HF DB","ILE.MUC","W","L",0,"WS0_11"
"ACEPEN14 HF DB_WS0_10",76,NA,68,73,"ACEPEN14 HF DB","ACE.PEN","W","L",0,"WS0_10"
"ILEMUC 12 HF DB_WS0_10",63,63,50,63,"ILEMUC 12 HF DB","ILE.MUC","W","L",0,"WS0_10"
"VIBACE07 HF DB_WS0_10",NA,NA,NA,NA,"VIBACE07 HF DB","VIB.ACE","W","L",0,"WS0_10"
"ACERUB29 HF DB_WS0_1",NA,NA,NA,NA,"ACERUB29 HF DB","ACE.RUB","W","L",0,"WS0_1"
"CORCOR08_HF_WS0_1",NA,NA,73,79,"CORCOR08_HF","COR.COR","W","L",0,"WS0_1"
"VACCOR 11 HF DB_WS0_1",26,21,16,19,"VACCOR 11 HF DB","VAC.COR","W","L",0,"WS0_1"
"ACERUB22 HF DB_WL0_9",NA,NA,NA,NA,"ACERUB22 HF DB","ACE.RUB","W","S",0,"WL0_9"
"BETALL25 HF DB_WL0_9",61,NA,52,52,"BETALL25 HF DB","BET.ALL","W","S",0,"WL0_9"
"ILEMUC 13 HF DB_WL0_9",NA,NA,NA,NA,"ILEMUC 13 HF DB","ILE.MUC","W","S",0,"WL0_9"
"ACERUB25 HF DB_WL0_8",NA,NA,NA,NA,"ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_8"
"CORCOR06 HF_WL0_8",NA,NA,NA,NA,"CORCOR06 HF","COR.COR","W","S",0,"WL0_8"
"ILEMUC 9 HF DB_WL0_8",NA,NA,90,NA,"ILEMUC 9 HF DB","ILE.MUC","W","S",0,"WL0_8"
"PRUPEN 23 HF DB_WL0_7",54,NA,37,45,"PRUPEN 23 HF DB","PRU.PEN","W","S",0,"WL0_7"
"PRUVIR 5 HF DB_WL0_7",21,NA,19,19,"PRUVIR 5 HF DB","PRU.VIR","W","S",0,"WL0_7"
"VIBACE04 HF DB_WL0_7",NA,NA,45,NA,"VIBACE04 HF DB","VIB.ACE","W","S",0,"WL0_7"
"PRUVIR 7 HF DB_WL0_6",NA,NA,NA,NA,"PRUVIR 7 HF DB","AME.SPP","W","S",0,"WL0_6"
"VACCOR 1 HF DB_WL0_6",54,26,16,47,"VACCOR 1 HF DB","VAC.COR","W","S",0,"WL0_6"
"VIBACE02 HF DB_WL0_6",NA,NA,NA,NA,"VIBACE02 HF DB","VIB.ACE","W","S",0,"WL0_6"
"ACESAC12 HF DB_WL0_5",NA,NA,NA,NA,"ACESAC12 HF DB","ACE.SAC","W","S",0,"WL0_5"
"BETALL26 HF DB_WL0_5",63,NA,47,58,"BETALL26 HF DB","BET.ALL","W","S",0,"WL0_5"
"ILEMUC 13 HF DB_WL0_5",NA,NA,NA,NA,"ILEMUC 13 HF DB","ILE.MUC","W","S",0,"WL0_5"
"CORCOR 16 HF DB_WL0_4",NA,NA,NA,NA,"CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_4"
"ILEVER01 HF DB_WL0_4",37,NA,26,30,"ILEVER01 HF DB","ILE.VER","W","S",0,"WL0_4"
"VIBACE HF9 DB_WL0_4",NA,NA,NA,NA,"VIBACE HF9 DB","VIB.ACE","W","S",0,"WL0_4"
"COMPER 8 HF DB_WL0_3",40,NA,16,21,"COMPER 8 HF DB","COM.PER","W","S",0,"WL0_3"
"ILEVER08 HF DB_WL0_3",45,NA,40,42,"ILEVER08 HF DB","ILE.VER","W","S",0,"WL0_3"
"VIBACE08 HF DB_WL0_3",NA,NA,NA,NA,"VIBACE08 HF DB","VIB.ACE","W","S",0,"WL0_3"
"CORCOR 16 HF DB_WL0_24",NA,NA,NA,NA,"CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_24"
"ILEVER01 HF DB_WL0_24",37,NA,23,26,"ILEVER01 HF DB","ILE.VER","W","S",0,"WL0_24"
"PRUVIR 4 HF DB_WL0_24",NA,NA,NA,NA,"PRUVIR 4 HF DB","PRU.VIR","W","S",0,"WL0_24"
"CORCOR 16 HF DB_WL0_23",NA,NA,NA,NA,"CORCOR 16 HF DB","COR.COR","W","S",0,"WL0_23"
"PRUPEN 26 HF DB_WL0_23",42,NA,16,21,"PRUPEN 26 HF DB","PRU.PEN","W","S",0,"WL0_23"
"VACCOR 6 HF DB_WL0_23",NA,NA,NA,NA,"VACCOR 6 HF DB","VAC.COR","W","S",0,"WL0_23"
"ACEPEN14 HF DB_WL0_22",NA,NA,93,NA,"ACEPEN14 HF DB","ACE.PEN","W","S",0,"WL0_22"
"ACESAC13 HF DB_WL0_22",NA,NA,NA,NA,"ACESAC13 HF DB","ACE.SAC","W","S",0,"WL0_22"
"COMPER ? HF DB_WL0_22",NA,NA,NA,NA,"COMPER ? HF DB","COM.PER","W","S",0,"WL0_22"
"ACEPEN17 HF DB_WL0_21",98,NA,98,98,"ACEPEN17 HF DB","ACE.PEN","W","S",0,"WL0_21"
"ACESAC16 HF DB_WL0_21",NA,NA,NA,NA,"ACESAC16 HF DB","ACE.SAC","W","S",0,"WL0_21"
"ILEMUC 11 HF DB_WL0_21",NA,NA,NA,NA,"ILEMUC 11 HF DB","ILE.MUC","W","S",0,"WL0_21"
"ACEPEN15 HF DB_WL0_20",NA,NA,112,112,"ACEPEN15 HF DB","ACE.PEN","W","S",0,"WL0_20"
"ACERUB25 HF DB_WL0_20",NA,NA,NA,NA,"ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_20"
"PRUPEN 21 HF DB_WL0_20",52,NA,37,40,"PRUPEN 21 HF DB","BET.SPP","W","S",0,"WL0_20"
"ACEPEN17 HF DB_WL0_2",NA,NA,NA,NA,"ACEPEN17 HF DB","ACE.PEN","W","S",0,"WL0_2"
"PRUPEN 23 HF DB_WL0_2",NA,NA,26,40,"PRUPEN 23 HF DB","PRU.PEN","W","S",0,"WL0_2"
"PRUVIR 6 HF DB_WL0_2",NA,NA,NA,NA,"PRUVIR 6 HF DB","PRU.VIR","W","S",0,"WL0_2"
"ACESAC17 HF DB_WL0_19",NA,NA,NA,NA,"ACESAC17 HF DB","ACE.SAC","W","S",0,"WL0_19"
"ILEMUC 10 HF DB_WL0_19",NA,NA,NA,NA,"ILEMUC 10 HF DB","ILE.MUC","W","S",0,"WL0_19"
"PRUVIR 3 HF DB_WL0_19",NA,NA,NA,NA,"PRUVIR 3 HF DB","PRU.VIR","W","S",0,"WL0_19"
"ACERUB25 HF DB_WL0_18",NA,NA,NA,NA,"ACERUB25 HF DB","ACE.RUB","W","S",0,"WL0_18"
"BETALL32 HF DB_WL0_18",54,NA,42,45,"BETALL32 HF DB","BET.ALL","W","S",0,"WL0_18"
"VACCOR 7 HF DB_WL0_18",54,21,42,50,"VACCOR 7 HF DB","VAC.COR","W","S",0,"WL0_18"
"ACERUB22 HF DB_WL0_17",NA,NA,NA,NA,"ACERUB22 HF DB","ACE.RUB","W","S",0,"WL0_17"
"ILEMUC 10 HF DB_WL0_17",NA,NA,NA,NA,"ILEMUC 10 HF DB","ILE.MUC","W","S",0,"WL0_17"
"VIBACE5 HF DB_WL0_17",NA,NA,84,NA,"VIBACE5 HF DB","VIB.ACE","W","S",0,"WL0_17"
"ACESAC17 HF DB_WL0_16",NA,NA,NA,NA,"ACESAC17 HF DB","ACE.SAC","W","S",0,"WL0_16"
"VACCOR 11 HF DB_WL0_16",30,28,19,26,"VACCOR 11 HF DB","VAC.COR","W","S",0,"WL0_16"
"VIBACE01 HF DB_WL0_16",NA,NA,NA,NA,"VIBACE01 HF DB","VIB.ACE","W","S",0,"WL0_16"
"ACEPEN18 HF DB_WL0_15",104,NA,98,101,"ACEPEN18 HF DB","ACE.PEN","W","S",0,"WL0_15"
"ACERUB23 HF DB_WL0_15",NA,NA,NA,NA,"ACERUB23 HF DB","ACE.RUB","W","S",0,"WL0_15"
"BETALL32 HF DB_WL0_15",73,NA,68,70,"BETALL32 HF DB","BET.ALL","W","S",0,"WL0_15"
"COMPER 3 HF DB_WL0_14",NA,NA,NA,NA,"COMPER 3 HF DB","COM.PER","W","S",0,"WL0_14"
"ILEVER10 HF DB_WL0_14",NA,NA,NA,NA,"ILEVER10 HF DB","ILE.VER","W","S",0,"WL0_14"
"VACCOR 2 HF DB_WL0_14",73,NA,54,63,"VACCOR 2 HF DB","VAC.COR","W","S",0,"WL0_14"
"COMPER 5 HF DB_WL0_13",NA,NA,NA,NA,"COMPER 5 HF DB","COM.PER","W","S",0,"WL0_13"
"ILEVER07 HF DB_WL0_13",42,NA,40,40,"ILEVER07 HF DB","ILE.VER","W","S",0,"WL0_13"
"PRUPEN 24 HF DB_WL0_13",NA,NA,33,NA,"PRUPEN 24 HF DB","PRU.PEN","W","S",0,"WL0_13"
"BETALL25 HF DB_WL0_12",90,NA,61,73,"BETALL25 HF DB","BET.ALL","W","S",0,"WL0_12"
"ILEVER04 HF DB_WL0_12",NA,NA,33,33,"ILEVER04 HF DB","ILE.VER","W","S",0,"WL0_12"
"VACCOR 11 HF DB_WL0_12",47,26,28,42,"VACCOR 11 HF DB","VAC.COR","W","S",0,"WL0_12"
"COMPER 5 HF DB_WL0_11",104,47,90,93,"COMPER 5 HF DB","COM.PER","W","S",0,"WL0_11"
"PRUPEN 23 HF DB_WL0_11",23,NA,16,21,"PRUPEN 23 HF DB","PRU.PEN","W","S",0,"WL0_11"
"PRUVIR 5 HF DB_WL0_11",56,NA,30,50,"PRUVIR 5 HF DB","PRU.VIR","W","S",0,"WL0_11"
"ACESAC18 HF DB_WL0_10",NA,NA,NA,NA,"ACESAC18 HF DB","ACE.SAC","W","S",0,"WL0_10"
"COMPER 6 HF DB_WL0_10",NA,NA,35,40,"COMPER 6 HF DB","COM.PER","W","S",0,"WL0_10"
"CORCOR 15 HF DB_WL0_10",NA,NA,NA,NA,"CORCOR 15 HF DB","COR.COR","W","S",0,"WL0_10"
"ACEPEN18 HF DB_WL0_1",63,NA,52,58,"ACEPEN18 HF DB","ACE.PEN","W","S",0,"WL0_1"
"BETALL32 HF DB_WL0_1",82,NA,63,73,"BETALL32 HF DB","BET.ALL","W","S",0,"WL0_1"
"CORCOR 17 HF DB_WL0_1",NA,63,NA,NA,"CORCOR 17 HF DB","COR.COR","W","S",0,"WL0_1"
"ACERUB25 HF DB_CS0_9",NA,NA,NA,NA,"ACERUB25 HF DB","ACE.RUB","C","S",0,"CS0_9"
"ILEVER09 HF DB1_CS0_9",NA,NA,NA,NA,"ILEVER09 HF DB1","ILE.VER","C","S",0,"CS0_9"
"PRUPEN16 HF DB_CS0_9",NA,NA,NA,NA,"PRUPEN16 HF DB","PRU.PEN","C","S",0,"CS0_9"
"ACERUB29 HF DB_CS0_8",NA,NA,NA,NA,"ACERUB29 HF DB","ACE.RUB","C","S",0,"CS0_8"
"BETALL32 HF DB_CS0_8",104,NA,87,96,"BETALL32 HF DB","BET.ALL","C","S",0,"CS0_8"
"COMPER 6 HF DB_CS0_8",NA,NA,NA,NA,"COMPER 6 HF DB","COM.PER","C","S",0,"CS0_8"
"BETALL26 HF DB_CS0_7",82,NA,70,79,"BETALL26 HF DB","BET.ALL","C","S",0,"CS0_7"
"VACCOR 7 HF DB_CS0_7",NA,NA,28,NA,"VACCOR 7 HF DB","VAC.COR","C","S",0,"CS0_7"
"VIBACE06 HF DB_CS0_7",NA,NA,NA,NA,"VIBACE06 HF DB","VIB.ACE","C","S",0,"CS0_7"
"ACESAC17 HF DB_CS0_6",NA,NA,NA,NA,"ACESAC17 HF DB","ACE.SAC","C","S",0,"CS0_6"
"BETALL31 HF DB_CS0_6",93,NA,82,84,"BETALL31 HF DB","BET.ALL","C","S",0,"CS0_6"
"VIBACE06 HF DB_CS0_6",104,NA,90,93,"VIBACE06 HF DB","VIB.ACE","C","S",0,"CS0_6"
"ILEVER03 HF DB_CS0_5",68,NA,56,65,"ILEVER03 HF DB","ILE.VER","C","S",0,"CS0_5"
"PRUPEN 24 HF DB_CS0_5",NA,NA,33,63,"PRUPEN 24 HF DB","PRU.PEN","C","S",0,"CS0_5"
"VACCOR 10 HF DB_CS0_5",79,68,14,70,"VACCOR 10 HF DB","VAC.COR","C","S",0,"CS0_5"
"BETALL32 HF DB_CS0_4",87,NA,82,82,"BETALL32 HF DB","BET.ALL","C","S",0,"CS0_4"
"COMPER 2 HF DB_CS0_4",NA,33,NA,NA,"COMPER 2 HF DB","COM.PER","C","S",0,"CS0_4"
"VACCOR 3 HF DB_CS0_4",NA,NA,NA,NA,"VACCOR 3 HF DB","VAC.COR","C","S",0,"CS0_4"
"ACEPEN14 HF DB_CS0_3",NA,NA,NA,NA,"ACEPEN14 HF DB","ACE.PEN","C","S",0,"CS0_3"
"CORCOR10_HF_CS0_3",NA,104,NA,NA,"CORCOR10_HF","COR.COR","C","S",0,"CS0_3"
"PRUVIR 5 HF DB_CS0_3",NA,NA,NA,NA,"PRUVIR 5 HF DB","PRU.VIR","C","S",0,"CS0_3"
"CORCOR14 HF DB_CS0_24",84,73,79,79,"CORCOR14 HF DB","COR.COR","C","S",0,"CS0_24"
"PRUPEN 23 HF DB_CS0_24",NA,NA,26,NA,"PRUPEN 23 HF DB","PRU.PEN","C","S",0,"CS0_24"
"PRUVIR 6 HF DB_CS0_24",NA,NA,NA,NA,"PRUVIR 6 HF DB","PRU.VIR","C","S",0,"CS0_24"
"CORCOR09_HF_CS0_23",NA,NA,90,107,"CORCOR09_HF","COR.COR","C","S",0,"CS0_23"
"ILEMUC 11 HF DB_CS0_23",NA,NA,NA,NA,"ILEMUC 11 HF DB","ILE.MUC","C","S",0,"CS0_23"
"VACCOR 8 HF DB_CS0_23",40,40,28,37,"VACCOR 8 HF DB","VAC.COR","C","S",0,"CS0_23"
"COMPER 4 HF DB_CS0_22",NA,30,NA,NA,"COMPER 4 HF DB","COM.PER","C","S",0,"CS0_22"
"ILEMUC 14 HF DB_CS0_22",NA,NA,NA,NA,"ILEMUC 14 HF DB","ILE.MUC","C","S",0,"CS0_22"
"PRUVIR 3 HF DB_CS0_22",NA,NA,NA,NA,"PRUVIR 3 HF DB","PRU.VIR","C","S",0,"CS0_22"
"CORCOR 15_HF_CS0_21",NA,68,107,NA,"CORCOR 15_HF","COR.COR","C","S",0,"CS0_21"
"ILEVER01 HF DB_CS0_21",NA,NA,NA,NA,"ILEVER01 HF DB","ILE.VER","C","S",0,"CS0_21"
"VIBACE09 HF DB_CS0_21",NA,NA,NA,NA,"VIBACE09 HF DB","VIB.ACE","C","S",0,"CS0_21"
"COMPER 8 HF DB_CS0_20",NA,NA,NA,NA,"COMPER 8 HF DB","COM.PER","C","S",0,"CS0_20"
"ILEVER08 HF DB_CS0_20",NA,NA,NA,NA,"ILEVER08 HF DB","ILE.VER","C","S",0,"CS0_20"
"PRUPEN16 HF DB_CS0_20",NA,NA,30,56,"PRUPEN16 HF DB","PRU.PEN","C","S",0,"CS0_20"
"ACESAC11 HF DB_CS0_2",NA,NA,NA,NA,"ACESAC11 HF DB","ACE.SAC","C","S",0,"CS0_2"
"COMPER 5 HF DB_CS0_2",NA,NA,NA,NA,"COMPER 5 HF DB","COM.PER","C","S",0,"CS0_2"
"CORCOR09_HF_CS0_2",107,NA,96,101,"CORCOR09_HF","COR.COR","C","S",0,"CS0_2"
"ACEPEN16 HF DB_CS0_19",NA,NA,NA,NA,"ACEPEN16 HF DB","ACE.PEN","C","S",0,"CS0_19"
"ACERUB25 HF DB_CS0_19",NA,NA,NA,NA,"ACERUB25 HF DB","ACE.RUB","C","S",0,"CS0_19"
"ILEVER08 HF DB_CS0_19",NA,NA,NA,NA,"ILEVER08 HF DB","ILE.VER","C","S",0,"CS0_19"
"ACEPEN20 HF DB_CS0_18",NA,NA,NA,NA,"ACEPEN20 HF DB","ACE.PEN","C","S",0,"CS0_18"
"ACERUB23 HF DB_CS0_18",NA,NA,NA,NA,"ACERUB23 HF DB","ACE.RUB","C","S",0,"CS0_18"
"ACESAC17 HF DB_CS0_18",NA,NA,NA,NA,"ACESAC17 HF DB","ACE.SAC","C","S",0,"CS0_18"
"ILEMUC 9 HF DB_CS0_17",NA,NA,NA,NA,"ILEMUC 9 HF DB","ILE.MUC","C","S",0,"CS0_17"
"PRUPEN 24 HF DB_CS0_17",NA,NA,NA,NA,"PRUPEN 24 HF DB","PRU.PEN","C","S",0,"CS0_17"
"VIBACE07 HF DB_CS0_17",87,NA,19,82,"VIBACE07 HF DB","VIB.ACE","C","S",0,"CS0_17"
"ACERUB28 HF DB_CS0_16",NA,NA,NA,NA,"ACERUB28 HF DB","ACE.RUB","C","S",0,"CS0_16"
"ACESAC19 HF DB_CS0_16",NA,NA,NA,NA,"ACESAC19 HF DB","ACE.SAC","C","S",0,"CS0_16"
"VIBACE11 HF DB_CS0_16",104,NA,93,98,"VIBACE11 HF DB","VIB.ACE","C","S",0,"CS0_16"
"ACEPEN16 HF DB_CS0_15",NA,NA,NA,NA,"ACEPEN16 HF DB","ACE.PEN","C","S",0,"CS0_15"
"ACERUB23 HF DB_CS0_15",NA,NA,NA,NA,"ACERUB23 HF DB","ACE.RUB","C","S",0,"CS0_15"
"ILEVER01 HF DB_CS0_15",68,NA,56,61,"ILEVER01 HF DB","ILE.VER","C","S",0,"CS0_15"
"BETALL31 HF DB_CS0_14",101,NA,82,96,"BETALL31 HF DB","BET.ALL","C","S",0,"CS0_14"
"ILEMUC 9 HF DB_CS0_14",NA,NA,NA,NA,"ILEMUC 9 HF DB","ILE.MUC","C","S",0,"CS0_14"
"PRUPEN 23 HF DB_CS0_14",NA,NA,NA,NA,"PRUPEN 23 HF DB","PRU.PEN","C","S",0,"CS0_14"
"BETALL31 HF DB_CS0_13",96,NA,87,96,"BETALL31 HF DB","BET.ALL","C","S",0,"CS0_13"
"COMPER 6 HF DB_CS0_13",NA,NA,NA,NA,"COMPER 6 HF DB","COM.PER","C","S",0,"CS0_13"
"ILEMUC 10 HF DB_CS0_13",NA,NA,NA,NA,"ILEMUC 10 HF DB","ILE.MUC","C","S",0,"CS0_13"
"ILEMUC 12 HF DB_CS0_12",NA,NA,NA,NA,"ILEMUC 12 HF DB","ILE.MUC","C","S",0,"CS0_12"
"PRUVIR 3 HF DB_CS0_12",NA,NA,NA,NA,"PRUVIR 3 HF DB","PRU.VIR","C","S",0,"CS0_12"
"VACCOR 3 HF DB_CS0_12",NA,NA,NA,NA,"VACCOR 3 HF DB","VAC.COR","C","S",0,"CS0_12"
"ACESAC17 HF DB_CS0_11",NA,NA,NA,NA,"ACESAC17 HF DB","ACE.SAC","C","S",0,"CS0_11"
"VACCOR 3 HF DB_CS0_11",NA,NA,NA,NA,"VACCOR 3 HF DB","VAC.COR","C","S",0,"CS0_11"
"VIBACE4 HF DB_CS0_11",NA,NA,NA,NA,"VIBACE4 HF DB","VIB.ACE","C","S",0,"CS0_11"
"ACEPEN14 HF DB_CS0_10",NA,NA,NA,NA,"ACEPEN14 HF DB","ACE.PEN","C","S",0,"CS0_10"
"ACESAC11 HF DB_CS0_10",NA,NA,NA,NA,"ACESAC11 HF DB","ACE.SAC","C","S",0,"CS0_10"
"PRUVIR 7 HF DB_CS0_10",NA,NA,NA,NA,"PRUVIR 7 HF DB","AME.SPP","C","S",0,"CS0_10"
