"","Family","Genus","Species","Pollination","Phen.sequence","heigh_height","flower_class","flo_time","av_fruit_time","shade_tol","imputed_resp","imputed_pred","name","pro","pro2","pol","class","class2","flo_type","shade_bin","fruiting","pro3","min._precip","min_temp","frost_free"
"52","Fagaceae","Quercus","imbricaria","wind","syn",21,"monoecious",5,19,"intolerant","N","N","Quercus_imbricaria",0,1,1,"2talltree",1,1,0,19,0,24,-18,160
"53","Fagaceae","Quercus","shumardii","wind","syn",28,"monoecious",5.5,19,"intolerant","N","N","Quercus_shumardii",0,1,1,"2talltree",1,1,0,19,0,25,-22,120
"54","Fagaceae","Quercus","palustris","wind","syn",20,"monoecious",5,19,"intolerant","N","N","Quercus_palustris",0,1,1,"2talltree",1,1,0,19,0,32,-33,120
"55","Fagaceae","Quercus","velutina","wind","syn",24,"monoecious",5,19,"intolerant","N","N","Quercus_velutina",0,1,1,"2talltree",1,1,0,19,0,30,-30,140
"56","Fagaceae","Quercus","rubra","wind","syn",28,"monoecious",5.5,19,"moderately_tolerant","N","N","Quercus_rubra",0,1,1,"2talltree",1,1,1,19,0,30,-35,100
"57","Fagaceae","Quercus","bicolor","wind","syn",24,"monoecious",5.5,9.5,"moderately_tolerant","N","N","Quercus_bicolor",0,1,1,"2talltree",1,1,1,9.5,0,36,-28,120
"58","Fagaceae","Quercus","macrocarpa","wind","syn",26,"monoecious",5.5,9.5,"moderately_tolerant","N","N","Quercus_macrocarpa",0,1,1,"2talltree",1,1,1,9.5,0,15,-38,100
"59","Fagaceae","Quercus","alba","wind","syn",28,"monoecious",5.5,9.5,"moderately_tolerant","N","N","Quercus_alba",0,1,1,"2talltree",1,1,1,9.5,0,30,-43,145
"60","Myricaceae","Comptonia","peregrina","wind","pro",1,"monoecious",4.5,7.5,"intolerant","N","N","Comptonia_peregrina",1,1,1,"0shrub",0,1,0,7.5,1,30,-38,100
"61","Myricaceae","Myrica","gale","wind","pro",1.5,"dioecious",4.5,7.5,"intolerant","N","N","Myrica_gale",1,1,1,"0shrub",0,1,0,7.5,1,30,-33,95
"62","Juglandaceae","Carya","lacinosa","wind","syn",25,"monoecious",5.5,10,"tolerant","N","N","Carya_laciniosa",0,1,1,"2talltree",1,1,1,10,0,30,-22,170
"63","Juglandaceae","Carya","ovata","wind","syn",25,"monoecious",5.5,10,"tolerant","N","N","Carya_ovata",0,1,1,"2talltree",1,1,1,10,0,29,-40,140
"64","Juglandaceae","Carya","cordiformis","wind","syn",26,"monoecious",5.5,10,"tolerant","N","N","Carya_cordiformis",0,1,1,"2talltree",1,1,1,10,0,25,-47,120
"65","Juglandaceae","Carya","glabra","wind","syn",22,"monoecious",5.5,10,"moderately_tolerant","N","N","Carya_glabra",0,1,1,"2talltree",1,1,1,10,0,30,-30,140
"66","Juglandaceae","Juglans","cinerea","wind","syn",18,"monoecious",5,10,"intolerant","N","N","Juglans_cinerea",0,1,1,"1smalltree",1,1,0,10,0,25,-33,105
"67","Juglandaceae","Juglans","nigra","wind","syn",28,"monoecious",5,10,"intolerant","N","N","Juglans_nigra",0,1,1,"2talltree",1,1,0,10,0,30,-28,170
"68","Betulaceae","Alnus","viridis","wind","syn",3,"monoecious",5.5,9.5,"intolerant","N","N","Alnus_alnobetula",0,1,1,"0shrub",0,1,0,9.5,0,16,-48,90
"69","Betulaceae","Alnus","incana","wind","pro",8,"monoecious",4,9,"intolerant","N","N","Alnus_incana",1,1,1,"0shrub",0,1,0,9,1,32,-33,100
"70","Betulaceae","Alnus","glutinosa","wind","pro/syn",18,"monoecious",4,9.5,"intolerant","N","N","Alnus_glutinosa",1,1,1,"1smalltree",1,1,0,9.5,0,20,-18,130
"71","Betulaceae","Corylus","americana","wind","pro",3,"monoecious",3.5,8.5,"intolerant","N","N","Corylus_americana",1,1,1,"0shrub",0,1,0,8.5,1,32,-33,100
"72","Betulaceae","Corylus","cornuta","wind","pro",4,"monoecious",4.5,8.5,"intolerant","N","N","Corylus_cornuta",1,1,1,"0shrub",0,1,0,8.5,1,20,-47,90
"73","Betulaceae","Ostrya","virginiana","wind","syn",16,"monoecious",4.5,9,"tolerant","N","N","Ostrya_virginiana",0,1,1,"1smalltree",1,1,1,9,0,18,-38,100
"74","Betulaceae","Carpinus","caroliniana","wind","syn",10,"monoecious",4.5,6,"tolerant","N","N","Carpinus_caroliniana",0,1,1,"1smalltree",0,1,1,6,0,23,-34,80
"75","Betulaceae","Betula","alleghaniensis","wind","pro",30,"monoecious",4.5,8,"moderately_tolerant","N","N","Betula_alleghaniensis",1,1,1,"2talltree",1,1,1,8,1,25,-47,60
"76","Betulaceae","Betula","nigra","wind","pro/syn",18,"monoecious",4,5.5,"intolerant","N","N","Betula_nigra",1,1,1,"1smalltree",1,1,0,5.5,0,30,-31,150
"77","Betulaceae","Betula","pumila","wind","pro/syn",3,"monoecious",5.5,8.5,"intolerant","Y","N","Betula_pumila",1,1,1,"0shrub",0,1,0,8.5,0,16,-38,90
"78","Betulaceae","Betula","papyrifera","wind","pro/syn",22,"monoecious",4.5,8.5,"intolerant","N","N","Betula_papyrifera",1,1,1,"2talltree",1,1,0,8.5,0,12,-62,80
"79","Betulaceae","Betula","pendula","wind","pro/syn",15,"monoecious",4,8.5,"intolerant","N","N","Betula_pendula",1,1,1,"1smalltree",0,1,0,8.5,0,30,-33,90
"80","Rhamnaceae","Frangula","alnus","insect","ser",6,"perfect",6,7.5,"moderately_tolerant","N","N","Frangula_alnus",0,0,0,"0shrub",0,0,1,7.5,0,35,-38,90
"81","Rhamnaceae","Rhamnus","alnifolia","insect","syn",2,"dioecious",5.5,8.5,"intolerant","N","N","Rhamnus_alnifolia",0,1,0,"0shrub",0,1,0,8.5,0,10,-33,100
"82","Rhamnaceae","Ceanothus","americanus","insect","ser",1,"perfect",7,9.5,"intolerant","Y","N","Ceanothus_americanus",0,0,0,"0shrub",0,0,0,9.5,0,25,-28,120
"83","Elaeagnaceae","Elaeagnus","umbellata","insect","ser",7,"perfect",6,8.5,"intolerant","Y","N","Elaeagnus_umbellata",0,0,0,"0shrub",0,0,0,8.5,0,28,-23,150
"84","Elaeagnaceae","Shepherdia","canadensis","insect","pro",3,"dioecious",4.5,7.5,"intolerant","N","N","Shepherdia_canadensis",1,1,0,"0shrub",0,1,0,7.5,1,15,-63,95
"85","Ulmaceae","Ulmus","thomasii","wind","pro",22,"perfect",4.5,5,"moderately_tolerant","N","N","Ulmus_thomasii",1,1,1,"2talltree",1,0,1,5,1,22,-46,120
"86","Ulmaceae","Ulmus","americana","wind","pro",30,"perfect",3.5,5,"moderately_tolerant","N","N","Ulmus_americana",1,1,1,"2talltree",1,0,1,5,1,15,-46,80
"87","Ulmaceae","Ulmus","rubra","wind","pro",24,"perfect",3.5,5,"moderately_tolerant","N","N","Ulmus_rubra",1,1,1,"2talltree",1,0,1,5,1,21,-43,90
"88","Ulmaceae","Ulmus","pumila","wind","pro",26,"perfect",3.5,4,"moderately_tolerant","N","N","Ulmus_pumila",1,1,1,"2talltree",1,0,1,4,1,16,-38,90
"89","Cannabaceae","Celtis","occidentalis","wind","syn/ser",15,"monoecious",5,9.5,"moderately_tolerant","N","N","Celtis_occidentalis",0,0,1,"1smalltree",0,1,1,9.5,0,14,-47,120
"90","Moraceae","Morus","alba","wind","syn",18,"dioecious",5.5,6.5,"intolerant","N","N","Morus_alba",0,1,1,"1smalltree",1,1,0,6.5,0,30,-18,130
"91","Moraceae","Morus","rubra","wind","syn",15,"dioecious",5.5,7,"moderately_tolerant","N","N","Morus_rubra",0,1,1,"1smalltree",0,1,1,7,0,35,-33,140
"92","Moraceae","Maclura","pomifera","wind","ser",18,"dioecious",5.5,9.5,"intolerant","N","N","Maclura_pomifera",0,0,1,"1smalltree",1,1,0,9.5,0,24,-23,180
"93","Rosaceae","Rubus","parviflorus","insect","ser",2.5,"perfect",6.5,8.5,"intolerant","Y","N","Rubus_parviflorus",0,0,0,"0shrub",0,0,0,8.5,0,20,-28,100
"94","Rosaceae","Rubus","occidentalis","insect","ser",4,"perfect",5.5,7.5,"intolerant","Y","N","Rubus_occidentalis",0,0,0,"0shrub",0,0,0,7.5,0,24,-28,129
"95","Rosaceae","Rubus","strigosis","insect","ser",2,"perfect",5.5,7.5,"intolerant","Y","N","Rubus_idaeus",0,0,0,"0shrub",0,0,0,7.5,0,10,-62,88
"96","Rosaceae","Rubus","allegheniensis","insect","ser",3.5,"perfect",5.5,8,"intolerant","Y","N","Rubus_allegheniensis",0,0,0,"0shrub",0,0,0,8,0,30,-28,120
"97","Rosaceae","Rubus","hispidus","insect","ser",1.5,"perfect",6.5,8,"intolerant","Y","N","Rubus_hispidus",0,0,0,"0shrub",0,0,0,8,0,30,-38,140
"98","Rosaceae","Rubus","flagellaris","insect","ser",4,"perfect",5.5,7.5,"intolerant","Y","N","Rubus_flagellaris",0,0,0,"0shrub",0,0,0,7.5,0,15,-23,180
"99","Rosaceae","Rosa","acicularis","insect","ser",1,"perfect",6,8.5,"intolerant","Y","N","Rosa_acicularis",0,0,0,"0shrub",0,0,0,8.5,0,15,-38,200
"100","Rosaceae","Rosa","palustris","insect","ser",2,"perfect",6.5,8.5,"moderately_tolerant","Y","N","Rosa_palustris",0,0,0,"0shrub",0,0,1,8.5,0,35,-33,95
"101","Rosaceae","Rosa","carolina","insect","ser",0.6,"perfect",6.5,9,"intolerant","Y","N","Rosa_carolina",0,0,0,"0shrub",0,0,0,9,0,25,-43,100
"102","Rosaceae","Spiraea","alba","insect","ser",2,"perfect",7.5,9,"intolerant","Y","N","Spiraea_alba",0,0,0,"0shrub",0,0,0,9,0,18,-33,110
"103","Rosaceae","Spiraea","tomentosa","insect","ser",1.2,"perfect",7.5,9,"intolerant","Y","N","Spiraea_tomentosa",0,0,0,"0shrub",0,0,0,9,0,30,-33,110
"104","Rosaceae","Prunus","nigra","insect","pro",9,"perfect",4.5,8.5,"intolerant","N","N","Prunus_nigra",1,1,0,"0shrub",0,0,0,8.5,1,15,24,128
"105","Rosaceae","Prunus","serotina","insect","syn",25,"perfect",5.5,8.5,"tolerant","N","N","Prunus_serotina",0,1,0,"2talltree",1,0,1,8.5,0,21,-43,120
"106","Rosaceae","Prunus","virginiana","insect","syn/ser",10,"perfect",5.5,7.5,"moderately_tolerant","N","N","Prunus_virginiana",0,0,0,"1smalltree",0,0,1,7.5,0,13,-43,120
"107","Rosaceae","Prunus","pensylvanica","insect","syn",10,"perfect",5.5,7.5,"intolerant","N","N","Prunus_pensylvanica",0,1,0,"1smalltree",0,0,0,7.5,0,16,-38,90
"108","Rosaceae","Prunus","pumila","insect","ser",1.5,"perfect",5.5,8,"intolerant","Y","N","Prunus_pumila",0,0,0,"0shrub",0,0,0,8,0,15,-33,125
"109","Rosaceae","Prunus","americana","insect","pro",10,"perfect",4.5,8.5,"intolerant","N","N","Prunus_americana",1,1,0,"1smalltree",0,0,0,8.5,1,16,-38,100
"110","Rosaceae","Amelanchier","sanguinea","insect","ser",8,"perfect",4.5,7,"intolerant","N","N","Amelanchier_sanguinea",0,0,0,"0shrub",0,0,0,7,0,35,-43,100
"111","Rosaceae","Amelanchier","arborea","insect","pro/syn",8,"perfect",4.5,7,"tolerant","N","N","Amelanchier_arborea",1,1,0,"0shrub",0,0,1,7,0,26,-47,120
"112","Rosaceae","Amelanchier","laevis","insect","syn/ser",10,"perfect",4,7,"tolerant","N","N","Amelanchier_laevis",0,0,0,"1smalltree",0,0,1,7,0,34,-38,85
"113","Rosaceae","Crataegus","crus-galli","insect","syn",10,"perfect",5.5,9.5,"intolerant","N","N","Crataegus_crus-galli",0,1,0,"1smalltree",0,0,0,9.5,0,24,-33,90
"114","Rosaceae","Malus","pumila","insect","syn",12,"perfect",5,8.5,"moderately_tolerant","N","N","Malus_pumila",0,1,0,"1smalltree",0,0,1,8.5,0,33,-78,100
"115","Fabaceae","Cercis","canadensis","insect","pro/syn",25,"perfect",4.5,6.5,"moderately_tolerant","N","N","Cercis_canadensis",1,1,0,"2talltree",1,0,1,6.5,0,20,-28,170
"116","Fabaceae","Gleditsia","triacanthos","insect","syn/ser",26,"dioecious",5.5,9.5,"intolerant","N","N","Gleditsia_triacanthos",0,0,0,"2talltree",1,1,0,9.5,0,20,-36,150
"117","Fabaceae","Robinia","pseudoacacia","insect","ser",18,"perfect",5.5,10,"intolerant","N","N","Robinia_pseudoacacia",0,0,0,"1smalltree",1,0,0,10,0,16,-37,140
"118","Cornaceae","Cornus","florida","insect","syn",10,"perfect",5.5,10,"tolerant","N","N","Cornus_florida",0,1,0,"1smalltree",0,0,1,10,0,28,-28,160
"119","Cornaceae","Cornus","alternifolia","insect","ser",8,"perfect",5.5,10,"tolerant","N","N","Cornus_alternifolia",0,0,0,"0shrub",0,0,1,10,0,24,-47,120
"120","Cornaceae","Cornus","sericea","insect","ser",3,"perfect",6,9,"intolerant","Y","N","Cornus_sericea",0,0,0,"0shrub",0,0,0,9,0,18,-38,90
"121","Cornaceae","Cornus","amomum","insect","ser",4,"perfect",6,8.5,"intolerant","N","N","Cornus_amomum",0,0,0,"0shrub",0,0,0,8.5,0,36,-38,110
"122","Cornaceae","Cornus","foemina","insect","ser",5,"perfect",5.5,8,"intolerant","Y","N","Cornus_foemina",0,0,0,"0shrub",0,0,0,8,0,36,-3,240
"123","Cornaceae","Cornus","rugosa","insect","ser",3,"perfect",5.5,8.5,"intolerant","Y","N","Cornus_rugosa",0,0,0,"0shrub",0,0,0,8.5,0,18,-28,90
"124","Nyssaceae","Nyssa","sylvatica","insect","syn",18,"dioecious",5.5,10,"tolerant","N","N","Nyssa_sylvatica",0,1,0,"1smalltree",1,1,1,10,0,40,-18,140
"125","Ericaceae","Vaccinium","angustifolium","insect","ser",0.5,"perfect",5.5,7.5,"intolerant","Y","N","Vaccinium_angustifolium",0,0,0,"0shrub",0,0,0,7.5,0,32,-33,100
"126","Ericaceae","Vaccinium","ovalifolium","insect","pro",1.5,"perfect",5.5,7.5,"moderately_tolerant","N","N","Vaccinium_ovalifolium",1,1,0,"0shrub",0,0,1,7.5,1,24,-33,100
"127","Ericaceae","Gaylussacia","baccata","insect","ser",1.5,"perfect",5.5,8.5,"intolerant","Y","N","Gaylussacia_baccata",0,0,0,"0shrub",0,0,0,8.5,0,28,-33,100
"128","Ericaceae","Vaccinium","corymbosum","insect","ser",4,"perfect",5.5,7.5,"intolerant","Y","N","Vaccinium_corymbosum",0,0,0,"0shrub",0,0,0,7.5,0,32,-33,100
"129","Aqufoliaceae","Ilex","verticillata","insect","ser",5,"dioecious",6,9.5,"moderately_tolerant","N","N","Ilex_verticillata",0,0,0,"0shrub",0,1,1,9.5,0,35,-28,140
"130","Adoxaceae","Sambucus","canadensis","insect","ser",4,"perfect",6.5,9.5,"moderately_tolerant","Y","N","Sambucus_canadensis",0,0,0,"0shrub",0,0,1,9.5,0,34,-28,100
"131","Adoxaceae","Sambucus","racemosa","insect","ser",4,"perfect",4.5,6.5,"moderately_tolerant","Y","N","Sambucus_racemosa",0,0,0,"0shrub",0,0,1,6.5,0,24,-33,200
"132","Adoxaceae","Viburnum","acerifolium","insect","ser",2,"perfect",5.5,9,"tolerant","Y","N","Viburnum_acerifolium",0,0,0,"0shrub",0,0,1,9,0,32,-28,115
"133","Adoxaceae","Viburnum","dentatum","insect","ser",3,"perfect",5.5,8.5,"moderately_tolerant","Y","N","Viburnum_dentatum",0,0,0,"0shrub",0,0,1,8.5,0,32,-28,163
"134","Adoxaceae","Viburnum","rafinesquianum","insect","ser",2.5,"perfect",5.5,8.5,"moderately_tolerant","Y","N","Viburnum_rafinesquianum",0,0,0,"0shrub",0,0,1,8.5,0,30,-43,100
"135","Adoxaceae","Viburnum","lentago","insect","ser",8,"perfect",5.5,9.5,"moderately_tolerant","N","N","Viburnum_lentago",0,0,0,"0shrub",0,0,1,9.5,0,38,-33,128
"136","Caprifoliaceae","Symphoricarpos","albus","insect","ser",1,"perfect",6.5,9.5,"intolerant","Y","N","Symphoricarpos_albus",0,0,0,"0shrub",0,0,0,9.5,0,12,-38,150
"137","Caprifoliaceae","Lonicera","tatarica","insect","ser",3,"perfect",5.5,9,"moderately_tolerant","Y","N","Lonicera_tatarica",0,0,0,"0shrub",0,0,1,9,0,32,-38,120
"138","Caprifoliaceae","Lonicera","maackii","insect","ser",5,"perfect",6,9,"moderately_tolerant","Y","N","Lonicera_maackii",0,0,0,"0shrub",0,0,1,9,0,25,-33,100
"139","Rubiaceae","Cephalanthus","occidentalis","insect","ser",5,"perfect",7.5,9.5,"tolerant","Y","N","Cephalanthus_occidentalis",0,0,0,"0shrub",0,0,1,9.5,0,20,-33,150
"140","Oleaceae","Fraxinus","profunda","wind","pro/syn",25,"dioecious",5,9,"intolerant","N","N","Fraxinus_profunda",1,1,1,"2talltree",1,1,0,9,0,36,-24,180
"141","Oleaceae","Fraxinus","pennsylvanica","wind","pro/syn",18,"dioecious",5,9,"intolerant","N","N","Fraxinus_pennsylvanica",1,1,1,"1smalltree",1,1,0,9,0,15,-47,120
"142","Oleaceae","Fraxinus","americana","wind","pro",28,"dioecious",5,8.5,"moderately_tolerant","N","N","Fraxinus_americana",1,1,1,"2talltree",1,1,1,8.5,1,28,-34,90
"143","Oleaceae","Fraxinus","nigra","wind","pro",20,"dioecious",5,8.5,"moderately_tolerant","N","N","Fraxinus_nigra",1,1,1,"2talltree",1,1,1,8.5,1,20,-47,80
"144","Oleaceae","Syringa","vulgaris","insect","syn/ser",7,"perfect",5,9,"intolerant","N","N","Syringa_vulgaris",0,0,0,"0shrub",0,0,0,9,0,30,-38,110
"145","Oleaceae","Ligustrum","vulgare","insect","ser",5,"perfect",6,9,"intolerant","Y","N","Ligustrum_vulgare",0,0,0,"0shrub",0,0,0,9,0,18,-38,130
"146","Bignoniaceae","Catalpa","bignonioides","insect","ser",12,"perfect",6.5,9,"intolerant","N","N","Catalpa_bignonioides",0,0,0,"1smalltree",0,0,0,9,0,30,-18,140
"147","Bignoniaceae","Catalpa","speciosa","insect","ser",15,"perfect",6.5,9,"intolerant","N","N","Catalpa_speciosa",0,0,0,"1smalltree",0,0,0,9,0,20,-38,90
